start,end,text
760,2760," Velkommen tilbage, om jeg så må sige."
2760,7480," Rejsekortets ejer er fundet, hvis nogen har stået og været vilde af bekymring over det."
7480,12840," Mine damer og herrer, vi skal have det, der bliver dagens sidste taler."
12840,19040," Og det er, kort præsenteret, det er læge, phd og medlem af initiativgruppen bag det her."
19040,21040," Bibike, Manneke, værsgod!"
21120,23120," Woooooooo!"
23120,47600," Det er vidunderligt at se så mange mennesker, og I ikke er blevet blæst helt væk endnu."
47600,50800," Jeg vil sige, jeg tror ligesom rigtig mange af jer,"
50800,53600," så har jeg glædet mig utrolig meget til i dag,"
53600,56160," til at være sammen med ligescenet,"
56160,61200," til at være sammen med nogen, som havde jeg nær sagt også havde set og har set lyset."
61200,66640," Jeg skal lige..."
66640,70560," Jeg skal lige sige, jeg er jo den rette til at komme og snakke i dag,"
70560,74880," fordi jeg er ekspert i sjældne sygdomme."
76960,82960," Og det er jo det vi taler om, for covid-19 er en sjælden sygdom."
82960,88080," Så jeg tænkte, altså hvem er mere perfekt end mig?"
88080,94560," Jeg skal også sige, at hvis vi lige taler om dagens tal nu,"
94560,97600," dagens tal er ikke kommet, men de sidste tal vi havde,"
97600,102000," var jo at, hvad var det omkring lidt mere end 10.000, der var testet,"
102000,105440," der var det 78, der var fundet smittet."
105440,109360," Det betyder altså, at vi skal have fundet en meget stor lup frem,"
109360,112800," for overhovedet at få øje på det eneste stakkel med covid-19."
112800,117040," Så der får vi tilbage til, at det er en sjælden sygdom,"
117040,120880," og det har faktisk hele tiden været en sjælden sygdom."
120880,128880," Da jeg sagde til min mand,"
128880,132880," ja det er mig der skal snakke, for du ved godt, at jeg er ekspert i sjældne sygdomme,"
132880,138960," så sagde han, at er det egentlig ikke lidt nemmere at sige, hvad du ikke er ekspert i?"
138960,144960," Og det vidner om, hvorfor jeg kan tåle så meget hate derude,"
144960,148240," fordi hvis det her er min ven, så vis mig mine pjænder."
148240,155280," Selv ironi skader ikke, men et eller andet sted er det jo lidt interessant,"
155280,160160," hvem der har lyttet til en, og skal man sige, hvem der ikke har lyttet til en."
160160,165280," Den anden dag så jeg en artikel, eller genså jeg en artikel."
165280,169520," Jeg havde et intervju, jeg havde givet til BT, da landet blev helt lukket ned."
169520,173920," De havde lavet intervjuet før landet blev lukket helt ned."
173920,175920," De brak det et døgn efter."
175920,179280," Og jeg må indrømme, at jeg var faktisk lige ved at græde, da jeg læste det,"
179280,183280," fordi jeg tænkte, hold nu da kæft, havde man dog meget lyttet til, hvad jeg sagde dengang."
183280,188320," Fordi der kunne man jo se ud af de meget sparsomme tal,"
188320,194480," at vi aldrig nogensinde på det her tidspunkt ville komme i nærheden af en bravende epidemi."
194480,196480," Og det gjorde vi jo heller ikke."
196480,201360," Samtidig beskrev jeg, hvad der ville ske, og hvad det ville få af konsekvenser."
201360,203360," Og det fik de konsekvenser."
203360,208160," Og i virkeligheden har det jo været en del af den her seance,"
208160,214960," at man har lyttet til, om man så må sige, de samme eksperter."
215680,223120," Nogle, som har kunnet underbygge ikke mindst pressets fortælling om det her covid-monster derude."
223120,228000," Jeg skal også sige, at det er jo en mærkelig tid, vi har været ude i."
228000,233120," Fordi jeg tror, rigtig mange af os har oplevet, og det er jeg helt sikker på, at I også selv har,"
233120,235360," for det er også derfor, I er kommet i dag, jeg er sikker på,"
235360,238640," at I har oplevet, at nogle af dem, I tænkte, var jeres venner,"
238640,242000," de var ikke helt så meget venner mere."
242960,244960," (Applaus)"
244960,249120," Og nogle af dem, I tænkte, var jeres venner,"
249120,252480," det blev faktisk jeres bedste venner."
252480,254480," (Applaus)"
254480,256480," Fordi det har fuldstændig ændret sig."
256480,259280," Jeg skal jo komme med også en lille disclaimer."
259280,263920," Nemlig, at jeg har aldrig personligt stemt til højre for Socialdemokratiet."
263920,265920," Hvordan tror I lige, jeg har haft det?"
266880,272640," Af ens, eller nær sagt, dem, der har forstået det, og dem, der har brugt fokus på det her,"
272640,277120," det kan vi godt sige, at de har ikke befundet sig til venstre for Socialdemokratiet."
277120,279120," Har jeg ret i det?"
279120,281120," (Applaus)"
281120,287680," Når jeg sådan skal ind og kigge på, hvad har det her så haft af konsekvenser?"
287680,291040," Hvad er det for nogle tal? Lad os først tage fat i talene."
292400,295600," Hvad har så den apropos udskamling været lidt ude efter?"
295600,297600," Hvad var det for nogle tal, I har fulgt ind?"
297600,300240," Jeg må bare sige, at det er sådan set de eneste tal, vi har haft."
300240,304160," Nemlig de tal, Serum Instituttet har oplyst hver eneste dag."
304160,308960," De har været interessante at følge, de har været meget sparsomme, vi har fået flere og flere."
308960,310960," Men det er de tal, vi har haft."
310960,318560," Så har vi haft nogle tal i forhold til indlagte, folk i intensivbehandling, folk i respirator."
318560,327200," Men i bund og grund har vi jo haft uhyggelige, uhyggelige, uhyggelige spænkle talgrundlag for alt det her."
327200,329200," Men det er altså de tal, vi har haft."
329200,336080," Og de har været betydeligt mere troværdige, end for eksempel den famøse matematiske model."
336080,341360," En matematisk model, hvor man fra det første har kunnet pille fra hinanden."
341360,347600," Og en matematisk model, hvor man må sige, jamen der kan man jo komme alt muligt elastik ind i den."
347600,352160," Afhængigt af, hvad er det for nogle variable, man lægger ind."
352160,361440," Så derfor er det bare tilbage til at sige, at de eneste tal, vi har haft og har, det er de tal, som I selv har kunnet følge på Serum Instituttet."
361440,363440," Det er de tal, jeg har fulgt."
363440,373760," Og det er dem, der hele tiden har vist os og har bekræftet, at vi ikke på noget tidspunkt har været i nærheden af en bravende coronaepidemi."
373760,384640," Så derfor er vi tilbage til, at det er godt, at jeg er forstand på sjældne sygdomme."
384640,395520," Hvis vi alligevel må dvale et kort øjeblik ved, hvad har det her så haft konsekvenser i forhold til syge mennesker."
395520,405760," Jamen, det har vi jo allerede set, hvor mange ambulante behandlinger, kontroller, opfølgninger osv. der er blevet aflyst."
405760,409680," Jeg så alene for hovedstadsregionen, var det 100.000."
409680,419840," Det vil altså sige 100.000 gange, 100.000 borgere, som har ventet og har skulle have en behandling, har skulle udredes osv."
419840,426720," Man skønner, at det er ca. 35.000 operationer, der er blevet aflyst eller udskudt."
426720,429200," 35.000!"
429200,433520," Jamen, prøv lige at tænke på alle de mennesker, der har ventet på en operation, der har smerter."
433520,437120," Altså, det er jo ikke unødige operationer, der er blevet aflyst."
437120,444960," Vi ved, og det hører jeg fra mine kollegaer, at der kommer syge mennesker ind, der ikke troede, at de kunne komme til læge en anden, hvis det havde været covid-19."
444960,455200," Så de kommer med kræft, der er spredt, så de kommer hundesyge, og de kommer alt for sent, simpelthen fordi, at landet har været lukket ned."
455200,464720," Samtidig ved jeg jo fra mine kollegaer derude, at de har, om man så må sige, haft meget let at lave, fordi patienterne jo ikke har været der."
464720,474240," Og det her show, det her skam med covid-19, hvor man har holdt hele og halve sygehuset lukket i afventen på, at de kom i en lind strøm."
474240,476960," Jamen, de er jo selvfølgelig uudeblevet."
476960,488320," Og det er jo fuldstændig vanvittigt, det er et fuldstændig vanvittigt ressourcespil, og det har haft alvorlige konsekvenser, ikke mindst for alvorlige syge af mennesker."
488320,496400," Når jeg sådan skal kigge på den her tid, så er der én ting, der står skrevet hen over det, og det er frys."
496400,500960," Når jeg sådan skal prøve at forstå, hvad har styret det her hysteri?"
500960,506240," Hvad har gjort, at man f.eks. ikke lyttede til mig og andre, der havde set det samme?"
506240,512240," Så kan jeg kun sige, at frygt, frygt og frygt er en smitsom sygdom."
512240,528400," Og den frygtsom smitsom sygdom, har vi smittet hinanden med, og ikke mindst lavet at smitte med af en statsminister,"
528400,532320," som har angivelig været uhyggelig bange selv."
532320,545360," Der har dog været et lille lyspunkt i det her, hvor jeg da skal være ærlig at sige, at i rigtig mange uger har jeg nok haft det ligesom jer selv,"
545360,555520," været ramt af en stor følelse af ensomhed, har tænkt sig mig engang, at jeg for helvede den eneste, der kan tænke klart i alt det her, er der ikke andre."
555520,563520," Det er derfor, vi er samlet i dag. Det er jo netop for at være sammen med nogle ligesindede."
563520,566560," Er der dog ikke andre, der kan se eller forstå det?"
566560,576480," Og så må jeg sige, at når det så allermørkest ud, så er en af dem, der lyttede allerbedst, jeg ved ikke om I kender den korte Avis eller den korte Corona-Avis,"
576480,587040," men dem af os, der elsker Kirsten Birkets søs Kris Hørsholt, også kaldet Kisser, hun var jo faktisk min stand-in i hele forløbet,"
587040,598240," så tak til Kisser eller Kirsten Birkets søs Kris Hørsholt for at kunne forstå sig på tal, viden, evidens og ikke mindst fakta."
598240,608240," Til sidst vil jeg godt lige ganske kort svare på noget af det, som rigtig mange har spurgt mig om, inklusiv min mand,"
608240,614240," som gentaget en gang har sagt, jamen hvad var det nu, du kunne se, vi andre ikke kunne se?"
