start,end,text
0,8660," (Vind og luft)"
8660,11060," Det ser godt ud, Vibiker!"
11060,13800," Og direkte ud! Ikke miste fart!"
13800,18080," (Vind og luft)"
18080,20080," Chop, chop, chop, chop, chop, chop, chop!"
20080,22460," (Vind og luft)"
22460,24720," (Lugt)"
24720,29960," Jeg har aldrig set nogen triatler deltage og stoppe op på den måde, det er at vinke lidt."
29960,35700," Jeg tror, de er bagved dig, men de er på vej."
35700,40220," (Vind og luft)"
40220,41960," Det er stærkt, Vibiker!"
41960,43960," Prøv at holde drevet, til du simpelthen hopper i."
43960,54160," (Vind og luft)"
54160,56160," Flot!"
56160,60460," (Vind og luft)"
60460,62460," Der kommer belønningen!"
62460,65000," (Vind og luft)"
65000,67000," Wow!"
67000,69000," Stærkt!"
69000,71000," Nu er du på vej til Sverige!"
71000,85640," (Vind og luft)"
