start,end,text
0,9320," Hej, jeg hedder Vibke Mannike, jeg er læge, jeg har en BUD, og så har jeg fulgt det her coronahelvede lige fra starten."
9320,16820," Jeg vil i dag snakke lidt om musikbranchens larmende tagtid."
16820,24820," Jeg synes musikbranchen, og ikke mindst musikkerne, har spillet big time for lidt i den her coronakrise."
24820,32460," Hvis du havde spurgt mig før coronakrisen, hvem ville være de kritiske ryster, så havde jeg med det samme sagt,"
32460,39180," det er selvfølgelig musikkerne, fordi det er jo der, vi har protestsangerne, det er der, vi har dem, der udfordrer magthæverne."
39180,46340," Så naiv vil jeg have været, og det ville have været ekstremt naivt, fordi sandheden har jo været en anden,"
46340,50680," nemlig at musikkerne har været uhyggeligt tavset."
50680,58960," Jeg har selvfølgelig fulgt lidt med her fra sidelinjen i forhold til genåbningsfesten, som Danmark i nødskab blev havløs,"
58960,63780," fordi det regnede, men lad det nu være, og hele diskussionen omkring Rasmus Nør."
63780,70980," Og jeg kan jo se, jeg kender ikke Rasmus Nør personligt, men jeg kan se den enorme mobbning, han har været udsat for,"
70980,75680," ikke mindst fra sine kollegaer, og det er godt nok skammeligt."
75680,79900," Gud, hvor sku' de skamser, de musikere, og der er en del af dem, hvor jeg må sige,"
79900,85860," ah, du kan godt regne med, at jeg kommer ikke til din koncert mere, fordi det der, det sagde dem på overord,"
85860,87480," og så har jeg ikke engang vandet."
87480,92420," Jeg så her til morgen en update af Norton Mikaelsen, jeg kender hende ikke personligt,"
92420,95780," men jeg har da været Facebook-ven med hende i, jeg tror, nærmest flere år,"
95780,101780," og det var så, oh my god, 35.000 sparet dødsfald, og så synes hun jo selvfølgelig,"
101780,108780," at så var det jo fuldstændig vanvittigt, at man ville holde en demonstration og genåbningsfest og en dækaldte kærlighed."
108780,114740," Og der tænker jeg, Gud, hvor er du dum, altså er Norton Mikaelsen, oh my god,"
114740,119180," er det dig, som har haft den kritiske røst, eller skulle have den kritiske røst,"
119180,124880," og et år efter, i det her corona-helvede, så er du ikke engang blevet klogere, det er godt nok skammeligt."
124880,127680," Det siger selvfølgelig meget om, at Norton Mikaelsen bevares,"
127680,133280," men i virkeligheden repræsenterer hun jo rigtig mange kunstners syn på det her."
133280,136880," Og det har jo været Zippertausend, og hvorfor?"
136880,140880," Jamen, det kan der være mange grunde til, måske i virkeligheden, at vi har overvurderet,"
140880,145780," hvor kritiske de i virkeligheden var, vi har overvurderet, hvad protestsanger var."
145780,149780," Som en af jer siger, den eneste protestsanger, vi har haft, han er død, og det må så være Kim Larsen."
149780,152680," Det ved jeg ikke, jeg ved slet ikke, hvad han ville have sagt eller gjort."
152680,157680," Men noget af det, jeg kan læse af det her, fordi Norton Mikaelsen, hun sagde, skrev så også noget,"
157680,161680," eller det er ligesom, når Dansk Folkeparti tager Dannebrog som gidsle."
161680,164680," Og der tænkte jeg, se, det er nok i virkeligheden det, det handler om."
164680,171180," At med en rød regering, jeg mener så ikke, den nuværende regering, har noget som helst med solidaritet at gøre."
171180,176180," Det er så, hvad det er, det er jo ekstremt usolidarisk, det de har udsat befolkningen for,"
176180,182180," det de har udsat dig for, mig for, de svage børn, ældre osv., det er så usolidarisk, det kan være."
182180,184180," Men lad det nu være."
184180,190180," Og jeg tror i virkeligheden, det handler om, at hvis man er kunstner, så skal man være politisk korrekt,"
190180,192180," og så skal man altså være åbenbart rød."
192180,198180," Nu skal jeg lige lave en lille disclaimer selv her, og det er, og det ved mange af jer også,"
198180,201180," jeg har faktisk aldrig personligt stemt til højre for Socialdemokratiet."
201180,206180," Og jeg har også ret til, og jeg gør også krav på de socialdemokratiske værdier."
206180,213180," Jeg gør også krav på solidariteten, og jeg mener også, at solidaritet er en del af et bærende kraftigt velfærdssamfund."
213180,217180," Men det, vi har været udsat for det sidste år, det har intet med solidaritet at gøre."
217180,220180," Det har intet med socialdemokratiske værdier at gøre."
220180,222180," Det er jo rent totalitært system."
222180,226180," Men jeg tror, at noget af det, som kunstnere, og det er en tro, jeg aner det ikke,"
226180,229180," jeg kan kun sige under mig, jeg tror, at noget af det, at kunstnerne har gjort,"
229180,233180," det har været, at det har været, altså det er lidt, når det er en rød regering,"
233180,239180," ergo kan vi ikke sige den imod. Og der tror jeg, at havde det nu været en blå regering,"
239180,243180," så skal jeg love dig for, at så havde man været kritisk."
243180,248180," Og det synes jeg jo er en lille smule ejendommeligt, fordi det er jo faktisk patetisk,"
248180,252180," at det handler mere om, om du er rød eller blå, end det faktuelle indhold."
252180,256180," Og så handler det selvfølgelig nok også om, at en del af vores musikere helt åbenlyst"
256180,259180," ikke har evnerne til at forstå, hvad der er sket."
259180,262180," De har ikke evnerne til at forstå det enorme overgreb,"
262180,265180," som regeringen har udøvet på befolkningen."
265180,268180," Det er den eneste forklaring, jeg kan komme til på."
268180,272180," Fordi ikke alene har man været tav, ikke bare tavse, så kan man sige,"
272180,277180," tavshed er også et sprog, men de har faktisk også været med til at udøve,"
277180,280180," synes jeg, ganske grov mobbning i forhold til Rasmus Nør."
280180,285180," Hvor vi må sige, at Rasmus Nør er faktisk den eneste, der har haft mandsmod og kvindsmod,"
285180,290180," kan det også være, til at gå imod det her forfærdeligt totalitære system."
290180,294180," Til at gå op imod det, til at tale ind i, hvor urimeligt det er."
294180,298180," Og det skal han altså have, det skal han faktisk have en cadeau for."
298180,304180," Det skal han have oprejsning for, uagtet at han så i sidste øjeblik bliver bange og ikke tørrer alt muligt."
304180,308180," Og det aner jeg jo ikke, hvad det i bund og grund har handlet om, og det interesserer mig heller ikke."
308180,313180," Det interesserer mig mere alle de andre kunstnere, som har været og er tavse."
313180,315180," Det er godt nok skræmmende."
315180,318180," Personligt kender jeg jo nogle af musikerne."
318180,322180," Jeg kender bl.a. Steffen Brandt, som jeg egentlig opfatter som en god ven."
322180,331180," Og jeg er da glad for, at han lavede den her fantastiske, synes jeg, nyfortolkning af den sidste turist i Europa her i forsommeren."
331180,336180," Og hurra for det, men efter har han jo ikke sagt hverken bue eller bøge."
336180,341180," Jeg kender Annika Auk her, som jo heller ikke har været kritisk."
341180,343180," Tvært om, kunne man sige."
343180,349180," Og sådan er der jo en hel del af kunstnerne, som har været, igen synes jeg, skammeligt tavse."
349180,355180," Og har været, hvis de har været noget, så har det endda også været spændt for regeringsvognen."
355180,359180," Og det må jeg sige, det synes jeg for et demokrati er rigtig, rigtig trist."
359180,362180," Og det synes jeg faktisk er skammeligt."
362180,365180," Og jeg synes egentlig ikke, der er nogen undskyldning for det."
365180,374180," Fordi, hvis ikke det er det, kulturen skal, hvis ikke det er det, at kunstnere skal, netop at tale en regeringsmagt imod."
374180,377180," Uagtet om de er blå eller røde."
377180,383180," Jamen jo, det er selvfølgelig fint at danse til det, og det er selvfølgelig fint at så videre synge med."
383180,385180," Jeg kan synge med på mange af sangene."
385180,388180," Men i virkeligheden er det ikke godt nok."
388180,397180," I virkeligheden er det et knæfald for den demokratiske proces."
397180,398180," Man går ikke ind i den."
398180,403180," Så igen, til kunstnerne derude, ved I hvad, I skal sku til at komme op på dupperne."
403180,405180," I skal til at turde sige noget."
405180,406180," Og ja, det koster at sige noget."
406180,412180," Look at me, hvad jeg ikke har været udskræmmet, hvordan jeg ikke har været bot-bottet i starten."
412180,418180," Hvordan jeg ikke har været forsøgt trynet, troet, chikaneret, hatet og så videre."
418180,424180," Men hvis du har et klart sigte, hvis du kan kende forskel på ret og vrang."
424180,430180," Hvis du har et ordentligt moralsk kompas, og ikke mindst hvis du gør dig umage for at forstå fakta."
430180,437180," Så giver det faktisk, i mit tilfælde kvindemod, men så giver det faktisk mod til at holde kursen."
437180,440180," Og det er det mod, som musikerne har savnet."
440180,444180," Måske heller ikke evnerne bevares, det kan også handle om manglende evner."
444180,451180," Jeg har før sagt, og jeg siger det gerne igen, at noget af det vi er op imod, og du må gerne blive fornærmet, det er også en intelligenstest."
451180,459180," Det vil sige, dem der formår at forstå, dem der formår at sætte sig ind i fakta, dem der formår at tænke analytisk."
459180,463180," Jamen, de forstår også at gennemskue det her."
463180,469180," Og de dumme, de bliver hjernevaske, det er dem der får det blinde udtryk i øjnene."
469180,472180," Det er dem som hverken kan gøde eller gæbe."
472180,477180," Og hvis, hvad hedder det, Mette Frederiksen siger hop til højre, så hopper de til højre."
477180,481180," Og hvis hun siger til dem, at de skal gå baglæns, så går de baglæns."
481180,484180," Og det er musikerne i en nødskab."
