start,end,text
0,10000," Så er jeg tilbage. Jeg hedder Ibeke Malike. Jeg er læge i PUD, og så har jeg fulgt det her corona-helvede lige fra starten."
10000,19000," Og lad os tage dagens tal først. Det er jo en alvorlig dag, fordi at på trods af, at positivprocenten er fuldstændig, som den var i går og i forårs,"
19000,23000," og der er intet, der tyder på, at der er noget som helst, der er ved at løbe løs,"
23000,29000," så vælger landets statsminister undskabsfuldt, som jeg vil kalde det, at lukke stort set hele landet."
29000,34000," Og jeg er begyndt at tænke, fordi jeg synes, det er undskabsfuldt, fordi det har ikke været læg i tallene,"
34000,39000," så jeg er begyndt at tænke, siger man en gang, havde Mette Frederiksen befolkningen så meget?"
39000,46000," Havde hun virksomhederne så meget? Havde hun butikkerne så meget? Og havde hun ikke mindst børnene så meget?"
46000,51000," Jeg fik i dag et chok. Jeg fandt et studie, eller der er kommet et studie fra Yama,"
51000,59000," hvor man har været inde og analysere, hvad kommer det til at koste i tabte liv, i tabte leveår,"
59000,63000," at man i USA lukkede ned i 52 dage her i foråret."
63000,69000," I 52 dage var der 24,2 mio. børn mellem 5 og 11 år, der i USA ikke kom i skole."
69000,72000," Men det koster faktisk liv. Det kan man faktisk regne på."
72000,76000," Og så kan man sige, skole og dødsfald, hvordan hænger det sammen?"
76000,81000," Død og sygelighed er tæt associeret med uddannelse."
81000,86000," Og det betyder, at vi ved, at hvis en del af de her børn, og det gælder også herhjemme,"
86000,90000," de kommer ikke til at få den uddannelse, som vi kunne ønske dem."
90000,93000," De kommer til at falde af vognen, når man så må sige."
93000,99000," Og det betyder, at deres dødelighed på sigt, deres sygelighed, bliver markant større."
99000,104000," Og her har man altså vurderet, det her meget store, grundige studie og analyse af tallene fra USA,"
104000,114000," der har man vurderet, at nedlukningen af skolerne i USA alene kommer til at koste 5,5 millioner taktøbt leve år."
114000,123000," Og man har også vurderet, at prisen af årsstiger på alle måder eventuelt gevinst ved at nedlukke skolerne."
123000,125000," Og det er alene nedlukningen af skolerne."
125000,128000," Så har vi ikke set på, hvad det kommer til at koste herhjemme,"
128000,133000," eller hvad det har kostet i forhold til forsinket kraftdiagnose, forsinket hjertediagnose,"
133000,142000," forsinket diagnose i forhold til neurologisk sygdom, ensomhed, det døde i sygdom, selvmord, depression osv."
142000,149000," Så det betyder, at det her, som regeringen og ikke mindst Mette Frederiksen udsætter dig og mig for,"
149000,154000," og ikke mindst vores børn, det har nogle voldsomme konsekvenser for hele vores samfund,"
154000,157000," men kommer faktisk også til at koste liv."
157000,161000," Og det kommer til at koste mange flere liv, end der måtte være reddet."
161000,166000," Og jeg siger måtte være reddet, fordi spørgsmålet er, hvad evidensen overhovedet er for,"
166000,169000," om det her nytter. Den er nemlig meget, meget lille."
169000,176000," Så til dig vil jeg sige derude, det er utrolig alvorligt, det som vi bliver udsat for, du og jeg og vores børn."
176000,182000," Det er meget, meget tragisk og ulykkeligt at se, hvordan børn går bange rundt, unge går rundt."
182000,186000," Jeg ser jo nu en opdeling, kan man sige."
186000,192000," Jeg ser flere af jer, der er endnu mere, der siger som mig, ""it's wild, it's crazy""."
192000,196000," Det er fuldstændig himmelråbende, hvad vi som befolkning bliver udsat for."
196000,199000," Det er fuldstændig himmelråbende, som vores grundlov bliver indskrænket,"
199000,204000," og hvad en folkevalgt regering tilbyder eller byder befolkningen."
204000,206000," Det er vanvittigt. Det er den ene gruppe."
206000,209000," Men den anden gruppe, og det er det, der egentlig gør mig ondt at se,"
209000,212000," det er specielt unge, synes jeg, som er bange."
212000,214000," Hvor du kan se, angsten står og skræver."
214000,218000," De har nærmest, som jeg har hørt Søren Brostrøm sige til pressemødet, taget to mundbillede på."
