start,end,text
0,4000," Yes, blowing in the wind, I ain't got nothing else to lose"
4000,8000," Blowing in the wind"
8000,17000," How many years must a man face this"
17000,22000," Oh, it is what you have to see"
25000,31000," How many years must a man face this"
31000,36000," Before they learn to live"
36000,43000," How many times must a man pretend"
43000,49000," Pretend that he just doesn't see"
51000,56000," Blowing in the wind, my friend, it's blowing in the wind"
56000,62000," Blowing in the wind, my friend, it's blowing in the wind"
62000,67000," How many years must a man face this"
67000,74000," How many times must a man pretend"
74000,80000," Pretend that he just doesn't see"
80000,86000," Blowing in the wind, my friend, it's blowing in the wind"
87000,92000," Blowing in the wind, my friend, it's blowing in the wind"
92000,98000," Blowing in the wind, my friend, it's blowing in the wind"
98000,103000," Blowing in the wind, my friend, it's blowing in the wind"
103000,109000," Blowing in the wind, my friend, it's blowing in the wind"
109000,115000," Blowing in the wind, my friend, it's blowing in the wind"
116000,120000," Blowing in the wind, my friend, it's blowing in the wind"
120000,127000," How many times must a man pretend"
127000,133000," Before he can see the sky"
133000,142000," How many years must a man live before he can hear"
142000,152000," People cry, how many days will it take to live alone"
152000,158000," Too many people have died"
158000,166000," Blowing in the wind, it's blowing in the wind"
167000,173000," Blowing in the wind, my friend, it's blowing in the wind"
173000,178000," How many times must a man pretend"
178000,187000," Before he can see the sky"
187000,192000," How many years must a man pretend"
192000,194000," *outro*"
