start,end,text
480,1000," Nu."
1000,3600," Kuk-kuk."
3600,5200," Så er jeg tilbage."
5200,6440," Jeg hedder Winke-Mannike."
6440,7560," Jeg er læge på D."
7560,12560," Og så ønsker jeg jer en rigtig godt og lykkebrændende og corona-fri nytår."
12560,17440," Jeg synes, det er lige at passe med bare en lille kort hilsen her på Falderebet,"
17440,23120," hvor vi kigger tilbage på et rædselsår, som har stået i corona-ansteg."
23120,28600," Ikke fordi corona som sådan har udfordret os, for det har den faktisk helt, når vi ser på talene,"
28600,37120," men regeringen, den totalitære regering, med deres vanvittige indgreb på din og min og vores børns og vores families frihed,"
37120,39200," den har kostet begge tegn."
39200,45200," Den har kostet på det enkeltedsniveau, den har kostet på samfundets, på alvorlig syge, på børns."
45200,48560," Den har været ekstremt indgreben, og er det fortsat."
48560,56880," Jeg så lige her Kæmpestudiet fra Wuhan, hvor man havde undersøgt 10 millioner mennesker efter at landet var blevet åbnet op."
56880,63480," Og det sjove var, at der faktisk var ingen corona-symptomer, der var ingen corona-syg efterfølgende."
63480,69880," Så kan man jo meget godt argumentere for, jamen er det i virkeligheden nedlukningen, der har kostet så mange syge?"
69880,75280," Netop fordi vi ved, at corona primært smitter mellem de nære relationer. Who knows?"
75280,77960," Og det er jo præcis det, som er hele omdrejningspunktet."
77960,84400," At regeringen har handlet og handler ud fra frygt, mavefornævnelser, gissninger."
84400,92720," Jeg har så forsøgt sammen med gode kollegaer, gode fagfolk, at have ekstremt meget fokus på fakta, fakta og lidt ekstra fakta."
92720,94880," Og derfor må jeg starte med en ting."
94880,97720," Det her skrammel, det kan du godt lade fange."
97720,99760," Det har ingen virkning, det beskytter ikke."
99760,111520," Til gengæld har det vanvittigt mange gener, udslet, tørre øjne, øget smitterisiko, fordi du går og nyser og gør gabrin i det her mundbind."
111520,115720," Fordi der er lorte bakterier på og så videre. Det er noget forfærdeligt skrammel."
115720,123360," Det er også meget sjovt at se, og her er jeg nok enig med Søren Brostrom, at den vældige mail, han sendte ud til os, nu her alle landets borgere omkring vaccinen."
123360,129560," Der stod der, alle de gode råd, som vi jo kender, vask hen og holde afstald, bliv hjemme, hvis man er syg."
129560,134240," Alt det, som er rigtig fornugtigt, og som vi kunne og burde have gjort helt fra starten."
134240,136240," Der stod intet om mundbind."
136240,140120," Og hvor rart for det, for det må jo betyde, at Søren Brostrom er enig med os andre."
140120,144600," Og har indset, at der er ingen dokumentation for det her skrækkelige mundbind."
144600,151320," Rigtig mange af jer bruger det her badge, som jo gør, og jeg oplevede det så sent som i dag,"
151320,159120," som jo gør, at ingen generer os, ingen udskrammer, fordi du har faktisk lov til, uagtet af Søren Brostrom og han er enig eller ej,"
159120,165760," så har du faktisk lov til at være undtaget for mundbind, hvis ikke du kan tåle det af fysiske eller psykiske grunde."
165760,172200," En badge hjælper, fordi det gør, at andre ser det, men du kan også lade være, du har heller ikke brug for en læreplæring."
172200,180840," Og så set som i dag, oplevede jeg egentlig super meget en ældre dame, som fik et ildbefindende, fordi hun sad med det her mundbind og simpelthen ikke kunne trække vejret."
180840,187240," Og jeg var nødt til at gå hen og sige til hende, ved du hvad min ven, du er nødt til at tage mundbindet af, så du kan trække vejret."
187240,190240," Og det vil jeg også sige til dig i overført betydning."
190240,197120," Vi er nødt til at tage mundkurven af, vi er nødt til at holde fast i, at vi har nogle grundlovsbestemte rettigheder."
197120,205120," De har været krænket, de har været udfordret, de har været indskrænket af det, fortsat her i 2020, og ved du hvad min ven, det skal stoppe."
205120,215520," Og det stopper ved, at du og jeg holder fast i, at vi lever i en demokrati, vi har en ytringsfrihed, og vi har en regering, som ikke har forstået at gå befolkningserne."
215520,224000," Der var en meget sød gentleman, der skrev til mig den anden dag, at det er kun døde fisk, der flyder med strømmen."
224000,226880," Og det var selvfølgelig en cadeau, og det var selvfølgelig en opmundring."
226880,233760," Og jeg må indrømme, at i 2020, der har godt nok været lidt af en stang af døde fisk."
233760,244280," Men det gode er, at den stang fortager sig, fordi flere og flere af jer er levende derude, og svømmer mod strømmen."
244280,250200," Fordi I har også indset, at det vi skal have fokus på, det er fakta, det er fakta, og det er fakta."
250200,258000," Så jeg håber, at du og jeg, og vi alle sammen, går ind i 2021, og I rinder hinanden om, at vi lever i et videnssamfund,"
258000,263040," og at alt det, der foretages, det skal være professionelt, og det skal være faktabaseret."
263040,270600," Det har I været tilfælde for 2020, det er det rædselsfulde år, hvor mange af jer uden tvivl også er kommet op og skins med jeres nærmeste."
270600,274640," I har måske endda mistet nogle venner, nogen I troede var venner, viser sig ikke at være venner,"
274640,277880," nogen I troede var bekendte er måske blevet venner, hurra for det."
277880,288120," Men vi skal kræve, at 2021 bygger på fakta, bygger på ordentlighed, ansvarlighed, retfærdighed og proportionalitet."
288120,291040," Så med det vil jeg ønske dig et rigtig godt nytår."
291040,299200," Jeg siger tak for dig, og tak for støtten, og tak for nærværdet, og tak fordi du deler den her video, og tak for din ordentlighed."
299200,302840," Kan du have det godt og rigtig godt nytår. Hej hej."
302840,312840," (Lytter af en mand)"
