start,end,text
800,3400," Halløj, så er jeg tilbage."
3400,7600," Jeg hedder Vibke Malike, jeg er læge og har en socialmedicinsk prioritet."
7600,12000," Og så har jeg fundet hele det her covid-19-helvede lige fra dag 0,"
12000,15200," om man så må sige, og faktisk også før det overhovedet kom til landet."
15200,18800," Dagen er jo speciel, fordi at nu er det jo kommet frem."
18800,23200," Igen var jeg lige ved at sige, at ved en agtingsseksombet til at have søgt,"
23200,26000," at Søren Brostrøm, direktør for Sundhedsstyrelsen,"
26000,29600," syv timer før, at Mette Frederiksen lukkede landet."
29600,35200," Faktisk gik ud og anbefalede, at man ikke lukkede landet."
35200,38800," Og det er mig egentlig på den ene side en glæde, fordi jeg tænker,"
38800,41600," okay, forstandeligt har de været i Sundhedsstyrelsen,"
41600,44000," og så er det umådeligt trist."
44000,48600," Fordi forestil dig, at Mette Frederiksen havde stået den 11. marts og sagt,"
48600,52000," ja, altså myndighederne de anbefaler ikke, at vi lukker."
52000,56600," Men ved du hvad, skide hurtigt det, fordi the big girl her, hun vil lukke."
56600,60400," Så I må regne med, at det kommer til at koste landet vanvittigt mange milliarder,"
60400,64600," alvorligt syge mennesker kommer til at blive endnu sygere, kommer til at dø endda."
64600,67600," Gamle kommer ikke til at få besøg."
67600,71000," Rigtig mange virksomheder går konkurs, men ved du hvad,"
71000,74200," det laver vi, fordi sådan ville lille mor have det."
74200,75400," Jeg tror, der var sket det her."
75400,78000," For det første havde du været meget mere kritisk."
78000,80200," For det andet havde pressen været meget mere kritisk."
80200,84200," Og for det tredje havde vi uden tvivl slet ikke stået i den her katastrofe,"
84200,86400," som blev påført af regeringen."
86400,88200," Men tilbage til covid-19."
88200,91400," Jamen, hvad var det så, vi så fra starten?"
91400,95400," Jamen, det er egentlig meget simpelt, fordi for det første er det jo sådan,"
95400,100400," at den her type coronavirus, som covid-19 er, de har en sæsonvariation."
100400,103000," Og forventningen var, at det vil covid-19 også have."
103000,106000," Det betyder, at vi var så langt henne på foråret,"
106000,109000," så der ville det ikke lade sig gøre, i hvert fald her i landet,"
109000,112600," at vi fik en decideret voldsom epidemik."
112600,114000," Det gjorde vi jo heller ikke."
114000,117600," To. Vi kunne allerede se, og det er jo det også sundhedsstyrelsen kunne se,"
117600,121400," at allerede det omkring 11. marts og endnu mere en lille uge efter,"
121400,123600," der kunne vi se, jamen det var rigtigt, vi fik flere smittede,"
123600,125800," men vi testede også flere."
125800,128600," Og procentuelt var det ikke stigende."
128600,132400," Ergo, der var ikke en bravende epidemi under opsætning."
132400,135000," Og så var det selvfølgelig, hvem smitter vi med covid-19?"
135000,137200," Hvor godt smitter eller hvor dårligt smitter covid-19?"
137200,141200," Og vi ved faktisk, at covid-19 smitter betydeligt dårligere end influenza faktisk,"
141200,143600," og typisk mellem nære relationer."
143600,147200," Altså i en familie eller mellem kærester og så videre."
147200,149800," Og hvad så i forhold til proportionalitet?"
149800,152200," Proportionalitetsprincippet?"
152200,156000," Jamen det var jo det, og det kan man jo se tydeligt også i de korrespondencer,"
156000,159000," der er, NOS var også inde omkring det."
159000,161000," Jamen du er nødt til, når du laver et indgreb,"
161000,163800," som for eksempel at lukke et samfund ned og sætte det i proportioner med,"
163800,164600," hvad koster det her?"
164600,165800," Hvad koster det menneskeligt?"
165800,168000," Hvad koster det andre patientgrupper?"
168000,171600," Hvad koster det samfundsmæssigt, socialt, personligt og så videre?"
171600,175200," Og det er alle de, skal vi sige, vurderinger, man selvfølgelig altid laver,"
175200,180200," og burde have lavet, eller i hvert fald have lyttet til fra regeringens side i det her tilfælde."
180200,185800," Fordi den indsats, man lavede, var fuldstændig ude af proportioner med målet."
185800,192200," Vi kunne uden problemer have opnået fuldstændig samme resultat ved at steppe op,"
192200,197800," f.eks. på håndvikeregnen, ved at komme med nogle anbefalinger om at gå uden for så meget, man kunne osv."
197800,204400," Og man kan måske endda argumentere for, om det, at man lukkede få inde sammen i så lang tid,"
204400,207000," faktisk øgede smitterisikoen."
207000,209400," Men hvad vi i hvert fald kunne se, og det var det gode budskab,"
209400,213400," det var, at for præmtige skørremål var udbruddet jo faktisk nedadgående,"
213400,216200," og der var ingen epidemi under omsætningen."
216200,218000," Hvad står vi så med nu?"
218000,222800," Jamen, der testes stadigvæk, synes jeg, helt vildt og helt ude af proportioner."
222800,226600," Og det vil sige, at hver dag fanger man, man tester cirka 13.000-13.000,"
226600,232200," og så er der 7, 48, 24, men lidt forskelligt, hvad der går i fælden af smittet."
232200,237200," En del af dem aner ikke, at de er smittet, og en del af dem er måske det, vi kalder falsk-positiv,"
237200,240000," altså at de i virkeligheden slet ikke har sygdommen."
240000,246600," Og vi kan se, at den her procentuelle del, som lige ligger omkring 0,2-0,5,"
246600,248800," den har faktisk ligget sådan nu et par måneder."
248800,254000," Alt sammen for at sige, at vi må nok leve med, at covid-19 er kommet for at blive i et eller andet omfang."
254000,256200," Det er det, vi har nu."
256200,257600," Og hvad så?"
257600,262200," Jamen, du ved hvad? Vi har rigtig mange virer, bakterier, svampe osv. derude,"
262200,266800," som er markant mere farlige, end covid-19 nogensinde har været,"
266800,269600," og efter alt at dømme, bliver mindre og mindre farlige."
269600,275200," Fordi det, vi også kan se, er, at selvom tallet for smittet er ret stabilt,"
275200,279600," eller har været det i cirka to måneder, så falder støt og roligt antallet af indlagte,"
279600,282400," intensivt antallet af respiratorer."
282400,289000," Som jo kan være en indikation for, at covid-19 er blevet endnu mere fredelig, endnu mere harmeløs."
289000,291600," Tilbage til, hvad kan der så ske til efteråret?"
291600,292800," Who knows?"
292800,295200," Forventningen er selvfølgelig, at covid-19 er kommet for at blive,"
295200,297400," så vi får meget vel et udbrud igen."
297400,301600," Og venter vi længe nok, får vi nok også på et tidspunkt noget, der tangerer en epidemi."
301600,303200," Det kan være i år, det kan være næste år."
303200,304600," Og hvad er der så at sige til det?"
