start,end,text
0,4700," Så har du mig tilbage."
4700,11700," Jeg hedder Vibeke Manike, jeg er læger og har en PUD, og så skal jeg lige sikre mig, at vi er live."
11700,13000," Så er vi live."
13000,23000," Jeg hedder Vibeke Manike, jeg er læger og har en PUD, og så havde jeg egentlig lavet den her live her, fordi jeg vil dele min skærm med jer."
23000,30500," Facebook laver nogle numrer, så når jeg stopper med at dele skærmen, som I så før, så sletter den hele, eller stopper den hele videoen."
30500,39500," Så jeg vil hellere forklare lidt, og så vil jeg lægge billedet op af den graf, som jeg forsøger at forklare jer, hvordan den ser ud."
39500,50000," Nemlig det her med, at vi har overdødelighed, og har faktisk haft det i Danmark siden maj 2021, og har det fortsat."
50000,66000," Den kurve, jeg lægger op til dig nu her bagefter, nede i kommentarfeltet, det er en kurve lavet af den norske Tor Guldbrandsen, som du kan finde på X eller Twitter."
66000,75000," Han bor i Finland, og han har lavet flere af de her grafer, jeg bruger og har brugt, ud fra officielle data."
75000,84000," Jeg skal lige se, om I er med, jeg skal lige høre, har vi gode mennesker med på linjen, jeg skal lige se her, hvad vi siger."
84000,94000," Kan I lige give mig en thumbs up, bare lige for at vide, at der er hul igennem, fordi den kommer og giver mig nogle sjove meldinger, Facebook her."
94000,102000," Så kan I lige give mig sådan en thumbs up, så jeg kan se, at der er hul igennem, fordi den giver mig lidt meldinger."
102000,106000," Kan I høre, hvad jeg siger?"
106000,116000," Jeg havde som sagt håbet, at jeg kunne dele, men jeg skal prøve at se, om jeg måske kan lægge et billede ind, Eva kan høre det, det er godt."
116000,123000," Jeg skal lige se, om jeg kan lægge et billede ind, nej det skal jeg nok ikke gøre undervejs, det gør jeg bagefter."
123000,131000," Vi skal lige, hees, ups, hips, ups, dups, vi skal lige have dagens reklame en slag, og så kommer jeg til at tale om overdødelighed."
131000,137000," Jeg har to par øreringe med, først vil jeg sige tak til alle jer, der bakker op om vores forskning."
137000,146000," Jeg vender lidt tilbage til USA-data, hvorfor det er væsentligt for os danskere, jeg vender lidt tilbage til funding, det tager jeg lidt, når vi har haft det med overdødeligheden,"
146000,151000," men jeg vil bare sige tusind tak for jeres bidrag, og jeg vil omvendt sige, det er nødvendigt."
151000,162000," Dagens tilbud, som jeg jo altid har med, i dag er de her skønne øreringe her, med den gule ælsten af en kalsit,"
162000,168000," den der ovenpå er en peridol, og det er selvfølgelig fra Jules C.B.H., og man får det i en fin æske,"
168000,175000," og de koster i dag 500 kroner, det er selvfølgelig for paret, her er paret, kan du se,"
175000,180000," for guld, sterning og sølv, der er mere end et par, for ofte er der flere af jer, der er interesseret i dem,"
180000,185000," jeg synes de er utrolig søde, de har en rigtig fin størrelse, og hvis du er interesseret i sådan et par,"
185000,191000," så overfører du til Mobile 23473, det er Jules C.B.H., det står også oppe i teksten,"
191000,197000," og så skriver du navn, adresse og telefon, hvis du vil have dem i sølv, så skriver du lige sølv,"
197000,200000," de kan også fås i ren sterning og sølv, det her er for guld, sterning og sølv."
200000,206000," Det andet par, og det er jo dem der hedder Unite, som er dem mig har designet særligt,"
206000,211000," fordi 50 kroner af dem, af det salg, går til vores forskning."
211000,216000," Og her har jeg taget dem med i sølv, kan du se, der er ligesom sådan to små plader,"
216000,220000," så der ligesom er noget dybde i dem, det er en super sød størrelse."
220000,224000," Her er det i sterning og sølv, rigtig mange af jer har allerede købt dem,"
224000,229000," og som jeg altid siger, bære dem med stolthed, det skal du også, eller giv dem med stolthed."
229000,233000," De koster normalt 699 kroner, og i dag 550 kroner."
