start,end,text
960,2720," Så er jeg tilbage."
2720,6080," Jeg hedder Vibe Klemannike. Jeg er læge. Jeg har en PUD."
6080,11200," Og så har jeg jo fulgt hele coronakrisen."
11200,17840," Jeg vil lige starte med at stille nogle spørgsmål, og jeg vil uddybe nogle spørgsmål, vi har stillet."
17840,26080," For det første ved jeg godt, at rigtig mange af jer ikke læser berlingske, og jeg vil sige det sådan, bliv ved med det."
26080,31680," Jeg så her den anden dag en undersøgelse af vores tillid, eller manglende tillid til medierne."
31680,37840," Og den viste jo med god ret, at rigtig mange af os har mistillid til medierne, fordi de har fyldt os med fake news,"
37840,44240," fordi de villeder, fordi de simpelthen ikke agerer som pressen bør."
44240,49120," Så sent som i dag, vi har tidligere, Tom Jensen, som er chefredaktør på Berlingske,"
49120,56160," har i hele forløbet egentlig enten vist, citerende jeg, eller bare ikke været opdaget voksen."
56160,58160," Og det er det spørgsmål, jeg stiller."
58160,66320," Når pressen, Berlingske er en af dem, under hele coronakrisen har vildlægt befolkningen,"
66320,70960," ikke har forstået fakta, har fordrejet tallene osv.,"
70960,76480," så er mit spørgsmål, handler det om dumhed, altså ganske enkelt at de ikke forstår fakta,"
76480,79680," eller handler det om bevidst fordrejning?"
79680,80880," Jeg har ikke svaret."
80880,82560," Jeg synes, der er nogle spørgsmål, vi skal stille."
82560,92160," Vi skal også stille spørgsmålet, hvorfor de presse etiske regler har forsømt at være den kritiske ryst."
92160,97760," Fordelen, eller ulempen, kan man sige for Tom Jensen, er, at han er ikke læge."
97760,99040," Det er jeg."
99040,100960," Han har ikke en Ph.D."
100960,101920," Det har jeg."
101920,104080," Han kan ikke læse videnskabelig litteratur."
104080,105280," Det kan jeg."
105280,112000," Så sent som i dag, så mener han så, at vi har vildlægt og ikke haft respekt for den videnskabelige dokumentation."
112000,113920," Se, der rammer han jo plet."
113920,118080," For det er jo præcis det, som pressen ikke har haft."
118080,122640," Hele mit sigte i hele coronakrisen har været på én ting, og det har været fakta."
122640,125440," Og det ved du også godt, som følger med og har fulgt med."
125440,128000," Jeg har haft ekstremt meget fokus på fakta."
128000,131600," Jeg har haft ekstremt meget fokus på data, og har det fortsat."
131600,139200," Så når jeg stiller de her spørgsmål, og også spørgsmålet om Christian Eriksen er vaccineret,"
139200,144960," så er det fordi, det har en meget vigtig betydning for fodbolden, for folkesundheden,"
144960,149360," og ikke mindst også selvfølgelig vores viden i forhold til vaccinationer."
149360,154880," Og når sådan en som Tom Jensen genskriver, at der var overhovedet ingen grund til, at man stillede det spørgsmål,"
154880,159360," så må jeg igen stille spørgsmålet, er det fordi Tom Jensen er dum?"
159360,161520," Er han ikke synes, det var et relevant spørgsmål?"
