start,end,text
640,1280," Kuk-kuk."
1280,2920," Så er jeg tilbage."
2920,5560," Jeg hedder Vibke Manneke, jeg er læger, jeg har en Ph.D."
5560,9040," Og så laver jeg egentlig den her live-video, fordi..."
9040,11760," Åh, vi skal lige have lyset til at passe, nogenlunde det passer."
11760,16000," Jeg laver den her live-video, fordi jeg synes det er nødvendigt -"
16000,20360," - at gentage, at vi skal have ro på, når det gælder gravidet."
20360,24800," Vi har lige her de seneste dage set formanden Anna Mette Lykkebo -"
24800,27800," - fra fødselslægerne, gå ud og få skræk af alle -"
28640,32960," - gravide, stakkels gravide til, at uha, nu skal de have en vaccine -"
32960,38640," - fordi de har fundet nogle talle i lommen, som viser ifølge dem."
38640,43480," Og det er en udokumentet påstand, at corona, uha, det har medført dødsfødsel."
43480,45160," Og der må jeg sige, det er ikke i orden."
45160,48000," Der er flere ting, der er meget problematiske i det."
48000,51880," For det første, hvis vi går ind og ser på, jeg lægger også et link op her -"
51880,54360," - på sådan, hvad studierne samlet viser."
55120,61760," Så viser det, at kvinder, gravide kvinder, hvis de får corona, får bavsende lette symptomer."
61760,67040," Og der er intet, der tyder på overhovedet i den forskning, der forelægger -"
67040,70200," - at kvinder, der får corona, er jo ikke så sund og raske -"
70200,73880," - har en større risiko for at få et dødfødt barn."
73880,76120," Det må jeg bare slå fast med syv tommer søvn."
76120,78560," Det er der intet, der tyder på."
80560,87080," Til gengæld er der noget tvivl i forhold til, hvad coronavaccinen kan gøre."
87080,89520," Jeg siger ikke, at den gør noget, men der er nogle tvivl."
89520,93880," Og der har været rejs lidt, skal vi sige, bekymrende signaler her senest i Skotland."
93880,99320," Jeg kan også se, at der florerer noget nu i Kanada, hvor man undrer sig lidt, om der kan være -"
99320,103440," - og jeg siger ikke, at der er en relation, men om der kan være en relation -"
103440,108480," - mellem kvinder, gravide, der bliver vaccineret mod corona -"
108480,113680," - og så risiko for dødsfødsler eller dødsfald i de første fire uger."
113680,116240," Men det aner vi intet om."
116240,121200," Det, der er bekymrende i forhold til coronavaccinen, det er, at den jo ikke testes som sådan -"
121200,122320," - i forhold til graviditet."
122320,128360," Vi kender ikke korttidsrisikoen godt nok og endnu mindre langtidsrisikoen."
128360,133680," Men uanset hvad, har vi til gengæld nu en del studier."
133680,141080," Og de viser samme billede, nemlig at der er intet, der tyder på, at der er en øget risiko for dødsfødsler -"
141080,143840," - forbundet med corona hos en i øvrigt sund og rask."
143840,151080," Det er klart, at en i forvejen syg, gravid, som fejler forskellige alvorlige sygdomme -"
151080,155840," - hun har ikke godt af det, og først og fremmest heller ikke, at hun får nogen som helst smitsom sygdom -"
155840,158560," - heller ikke lungebetændelser, det er en helt anden snak."
158560,164240," Så derfor er det på alle måder meget, meget farveligt, når en formand går ud -"
164240,167600," - uden at have videnskabelig dokumentation for det, hun siger."
167600,171200," Derfor mener jeg også, at når jeg ser den angst, det har affødt, og når jeg ser den bekymring -"
171200,178280," - hos rigtig mange gravide, så mener jeg, at det helt klart bør afstedkomme en stor og uformholdende undskyldning -"
178280,180920," - fra at med et lykkebo får man for fødselslærerne."
180920,182000," Og hvorfor?"
182000,186120," Jo, fordi det, hun går ud med, det gør rigtig mange bange."
186120,192040," Og angst under en graviditet, det er hverken godt for mor eller for det ufødte barn."
192040,197320," Det, hun også går ud med, det er, at det er fuldstændig uden hold i data."
197320,199480," Det er lommehul, som jeg kalder det."
199480,202720," Det er udokumenteret data."
202720,207120," Vi har, og når jeg siger vi, så er vi jo sådan en gruppe af fagfolk, der har sådan et netværk -"
207120,214160," - har forsøgt at få fra sundhedsdata tallene over dødsfødseler, aktuelle tal og de seneste års tal -"
214160,216920," - og også over neonatale død, altså de første fire uger."
216920,221800," Og det har været umuligt at få de tal ud af Sundhedsdatastyrelsen so far."
221800,228280," Men når, at med et lykkebo får man for fødselslærerne, går ud og kommer med så drastisk en udmelding -"
228280,232360," - om at, uha, det er vigtigt, at kvinder bliver vaccineret med corona -"
232360,237760," - fordi at man kan se af tallene, at kvinder, der får corona under graviditeten -"
237760,240720," - der er der risiko for dødsfødsel, det er løgn."
240720,244240," Den dokumentation forelægger de ikke, den fremlægger de ikke."
244240,250480," Og derfor mener jeg også, at sådan en meget bestandt udmelding, uden hold i nogen som helst data -"
250480,252800," - det hører faktisk til i nævnet for videnskabelig uredelighed."
252800,259520," Der mener jeg, at den hører til, fordi det er et grundprincip, at hvis du fremlægger nogle data -"
259520,266320," - og endda går ud og laver sådan et stort rabat ud af det, så skal det jo selvfølgelig være videnskabeligt dokumenteret -"
266320,272640," - det skal være publiceret videnskabeligt, og det skal være muligt for os andre at efterprøve de tal, og det er de ikke."
272640,277680," Fordi der er altså nogen, hun har andre rådet frem nede blandt lommehullet, og det er ikke i orden."
277680,282160," Og der er slet ikke, når det afstedkommer, så meget en angst."
282160,287680," Som du, hvis du har fulgt mig, kan se, at når alle de gange, jeg har sagt noget og lagt noget op -"
287680,294480," - så har jeg lagt publikationer op, videnskabeligt dokumentation, og så har jeg fremlagt de tørre tal -"
294480,297360," - data igen, og igen, og igen."
297360,303200," Hvis jeg havde fremlagt så meget lommehullet i de her sidste 21 måneder, som Annemette Lykkebo senest har gjort her -"
303200,308960," - da hun gik ud og gjorde alle for skrækket, jamen altså, så ved jeg dårligt, så havde jeg da hængt på -"
308960,313920," - hvad hedder det, pæl og stejl, hvad er det hedder, altså så var jeg da i den grad blevet lynsyet igen og igen."
313920,316560," Det har jeg selvfølgelig ikke gjort, fordi det er uordentligt."
316560,321360," Vi har brug for, det er jo mit omdrejningspunkt, fakta, fakta og fakta."
321360,324240," Det er dem, jeg præsenterer for dig igen og igen."
324240,329680," Og for dig, der sidder og er bekymret og bange og så videre, så vil jeg bare sige ro på."
329680,331680," Lyt til det, jeg siger."
331680,333680," Kig på fakta."
333680,341840," Og hvis du giver dig hen til det her firmamongering, det her frygtmonster, som altså Annemette Lykkebo er med til at puste op -"
341840,345760," - så er jeg nødt til at bede dig om én ting, nemlig at bede om den dokumentation."
345760,349920," Det mener jeg sådan set også, pressen skulle have gjort, det mener jeg uskriftfuldt, jeg skulle have gjort -"
349920,353120," - inden at de, om man så må sige, brægte ved til Bo."
353120,360640," Jeg synes, det er uordentligt, det er elendig journalistik for uskrift fra lærer sides, det er elendig journalistik for alle de medier, der er gået med."
360640,367360," Men for dig, der har din forstand i behold, for dig, der kan tænke selv, der skal du selvfølgelig sige, som vi også gjorde -"
367360,372800," - hvor er de data? Må vi se de tal? Må vi se den videnskabelige dokumentation?"
372800,375840," Og der kan jeg så fortælle dig, den forelægger ikke."
375840,382000," Til gengæld, som sagt, ved at lægge et link op her, hvor du kan se en stor meta-analyse fra 2020 -"
382000,389200," - der havde vi altså også corona, der viser, at der ikke er nogen øget risikoforbund med corona hos gravide -"
389200,393200," - i forhold til det, som deres påstand dødsfødsler."
393200,398480," Og det er jo dokumentation, det er publikationer, det er videnskabelig dokumentation -"
398480,402960," - og altså ikke noget, man sådan har fundet frem hernede blandt ens lommeuld."
402960,410720," Og det er meget afgørende, når man fremlægger noget, hvis man er bekymret for noget, at der selvfølgelig er en dokumentation -"
