start,end,text
960,5340," Så er jeg tilbage, Vibeke Malik hedder jeg, jeg er læge, jeg har en Ph.D."
5340,14520," Og så er jeg holdkaptajn, havde jeg nær sagt, for os, som er noget skeptiske og kritiske over for hele det her corona-hysteri"
14520,19000," og den katastrofe, regeringen har bragt os i faktisk fra starten af."
19000,25720," Jeg har hele tiden og under hele forløbet haft fokus på én ting, og det er fakta."
25720,31240," Jeg har haft fuldstændig kikkerten placeret på, hvad er der faktuelt."
31240,36320," Ikke hvad er der af frygt, af gidsninger, mavefornemmelse osv., det har jeg overladt til regeringen."
36320,38880," Jeg har haft fokus på fakta, det har jeg stadigvæk."
38880,43720," Det har været meget svært og er meget svært at komme igennem med de her faktuelle oplysninger,"
43720,49160," men den tager vi på et andet tidspunkt, nok i morgen, hvor jeg vil tage fat på hele censurdelen,"
49160,51680," som jeg også har dokumentation for, men lad det nu være."
51680,56360," Jeg vil lige i dag tale lidt om vores unge, der bliver testet."
56360,62280," Jeg vil tale lidt om dagens tal, og så vil jeg tale om det faktum, at ensomhed er en dødelig sygdom."
62280,67800," Men inden det er, vil jeg lige sige ganske kort, at nogen af jer kender måske den her samtalebog,"
67800,72360," mig og jer skrev her hen over sommeren og beskrev foråret Strabasser."
72360,75360," Og det er faktisk for jer, der gerne vil have sådan en gennemgang,"
75360,78400," eller hvad var det egentlig, der skete, så vil jeg meget varmt anbefale den."
78400,83320," Sjovt nok. Den koster 98 kroner, og den koster lånets gratis på biblioteket,"
83320,87240," eller du kan give den som en gave, julegave, adventsgave, til nogen,"
87240,93040," som måske trænger til at have fokus på fakta, og ikke frygt, gissninger, angst osv."
93040,95720," Men lad os lige tage fat i dagens tal."
95720,99640," Vi har jo altid lige en runde, hvor vi runderer dagens tal."
99640,101200," Jamen, de er super fine."
101200,106320," Det her med, at UHAT er det højeste tal, nej, den er sådan set stabil og fin."
106320,109480," Den ligger lige, positiv procenten ligger lige omkring 2,"
109480,112000," og det har den sådan set gjort i rigtig mange dage."
112000,115760," Der er en lille smule flere smittede bevares."
115760,119920," Det er også klart, hvis man går efter dem, der havde nær sagt ud fra PCR-testen er smittet,"
119920,121600," jamen, så fanger du også flere."
121600,125120," Det, som er afgørende, og det vi hele tiden skal holde fast i, det er,"
125120,129400," som det ser ud nu i dag med dødeligheden, med sygeligheden osv.,"
129400,133360," jamen, så er COVID-19 jo blevet en meget mere fredelig sygdom."
133360,138280," Der er markant færre, der dør med COVID-19, end der var i foråret."
138280,144920," Og selv med de tal, så er det meget, meget, meget, meget få, der dør med COVID-19."
144920,149040," Der dør hver dag, og det skal vi også huske, 150 mennesker,"
149040,153960," og jeg så her til sidst, hvor der døde 6 med COVID-19, en del af dem, de dør jo ikke."
153960,158240," Der er COVID-19 en del af det, at de dør, men det er deres grundsygdom, de dør af."
158240,161600," Og som jeg lidt plejer at sige, jamen, hvad med de der 144 andre?"
161600,165360," Har de ikke også krav på at blive prioriteret?"
165360,169640," Har de ikke også krav på, at man taler om folkesundheden?"
169640,173560," Har de ikke også krav på værdighed, anstændighed, ordentlighed?"
173560,174800," Jo, de har så."
174800,179560," Men ved du hvad, det har de ikke fået siden i hvert falde marts 2020."
179560,182560," For der er det som om, at regeringen og Mette Frederiksen især,"
182560,187440," har glemt alt og alle andre, end hvad der startede med corona."
187440,190040," Og ved du hvad, det kan vi ikke være bekendt, det er uretfærdigt."
190040,191800," Det er ikke i orden."
191800,195560," Og så er det fuldstændig ude af proportioner."
195560,197960," Og det er jo det, jeg hele tiden har efterlyst og gør igen,"
197960,200360," proportioner i indsatsen."
200360,203840," Lige nu ser vi jo en udskamning af,"
203840,205920," regeringen har været rigtig god til at udskamme folk."
205920,209160," Vi har set det mange gange, vi så det sidst med minkavlerne,"
209160,213320," der kunne hjælpe med, blev påtvunget at dræbe deres mink,"
213320,216400," for så at vise, at det var en ulovlig ordre fra statsministeren siden."
216400,218080," Men lad det nu være."
218080,222800," Nej, nu er udskamningen i gang hos de unge, fyha,"
222800,225160," og julen er også på spil, fyha."
225160,227200," Nej, ved du hvad, nu må det stoppe."
227200,229800," Det er simpelthen noget vores."
229800,230760," Nu skal jeg fortælle dig noget."
230760,234680," Det er sådan, at vi ved, at hvis vi tager dem, der bliver testet positive,"
234680,236200," hvis vi bare tager dem fra sidste døgn,"
236200,240920," nu er der 77.000, man har testet, og var det omkring 1.600,"
240920,246640," der var testet positive, så er det i hvert fald mindst halvdelen af dem,"
246640,248520," som ikke har symptomer."
248520,251800," Det vil sige, at de er ikke syge, de smitter ikke andre."
251800,257600," Jo, de kan meget vel have haft det, eller have stødt på en halv virus, som man siger,"
257600,260680," men det er ikke det samme som, at de er en trussel for os andre."
260680,264640," Går vi så ind og ser på børn og unge, og nu kommer det interessante,"
264640,268120," så ved vi, at de har langt færre symptomer,"
268120,271320," især dels mindre børn eller under 10 år."
271320,273680," Vi ved, at de smitter mindre."
274240,276400," Og det, som er rigtig interessant i det her,"
276400,279240," det er, og jeg kan ikke forstå, at det ikke har været mere fremme,"
279240,283000," det er, at rigtig meget tyder på de data, vi har,"
283000,286440," at bl.a., eller især dels MFR-vaccinen,"
286440,293040," at den har betydning for beskyttelsen af nætter, børn og unge mod bl.a. COVID-19."
293040,294680," Det er jo sådan, at flere af vores vacciner,"
294680,296800," og det har man kendt i mange, mange år,"
296800,299480," har det, man giver os, det vi kalder en erhvervet immunitet."
299480,303240," Det vil sige, det giver os ikke kun en immunitet overfor i det her tilfælde,"
303240,306760," mæslinger, forsøg og røde hunde, altså ved MFR-vaccinen,"
306760,311680," men også bredere immunitet, altså immunforsvar."
