start,end,text
0,6000," Så er jeg tilbage. Jeg hedder Vibeke Malike, jeg er læge og har en Ph.D."
6000,11000," Og så er jeg vel en del af i hvert fald modstandsbevægelsen."
11000,13000," Og ved du hvad, hvad jeg glæder mig til?"
13000,19000," Jeg glæder mig rigtig meget til i morgen, at vi skal ses inde på Bertel Thorvaldsens plads,"
19000,22000," hvor vores demonstration starter kl. 17."
22000,27000," Vores demonstration mod forsamlingsforbud, mod alle de her restriktioner"
27000,30000," og vores demonstration for frihed."
30000,34000," Vi starter nemlig kl. 17, og så går vi en dejlig tur i klædet."
34000,39000," Jeg tager min blå mængd på, du. Jeg kan love dig for, at jeg skal vise dig den blå mængd."
39000,46000," Og så er det nemt at kende i mængden en mængd, jeg købte for 100 år siden tæt på for 2.000 kr."
46000,50000," Så den er altså bæredygtig, du. Og den er mængd, og den er godt nok blå."
50000,52000," Og ved du hvad, hvad jeg også tager på?"
52000,57000," Så tager jeg altså også min hudlut på, du. Så det bliver det helt store udstyrsnummer."
57000,60000," Og så går vi ellers for, ved du hvad? Vi vil have julen tilbage, du."
60000,63000," Vi vil have vores frihed. Vi vil ikke tales ned til."
63000,69000," Vi vil have en respekt, ansvarlighed og over for hele befolkningen."
69000,72000," Ja, jeg ser lidt børget ud med den hat og mug der."
72000,77000," Så jeg håber, at vi ses i morgen. Og kom over og giv mig et knus, du."
77000,82000," Kom over og lad os se hinanden i øjnene. Kom over og lad os genvinde livet igen."
82000,86000," Og så vil jeg sige, at i forhold til dagens tal, jo, der er lidt stigning."
86000,91000," Og ved du hvad, der er rigtig mange mennesker, der ligger indlagt med blødprop i hjertet."
91000,96000," Der er rigtig mange mennesker, der ligger indlagt på den psykiatriske afdeling med en svær depression."
96000,99000," Der er mennesker, der er ensomme. Der er mennesker, der har en kraftsygdom."
99000,101000," Det er folkesundheden."
101000,107000," Men covid-19, og fordi den nu stiger lidt, og nej, der er ikke nogen eksponentiel stigning, det må jeg bare sige, det er der ikke."
107000,111000," Der er en stigning. Bevare os. Vi er også på den årstid, vi er."
111000,118000," Indlæggelsestallene, yes. Når du tester rigtig mange, så vil du også have en del, som indlægges med covid-19."
118000,122000," Ikke af covid-19, men med covid-19. Så stop nu det der hysteri."
122000,126000," Tal ordentligt til befolkningen, må vi bede ikke mindst Mette Frederiksen om."
126000,130000," Vi må også bede om, at man forholder sig til fakta, fakta og fakta."
130000,132000," Det er det, jeg har forholdt mig til hele forløbet."
132000,134000," Det er det, jeg forholder mig til stadigvæk."
134000,142000," Det er det, jeg glæder mig over. At covid-19, jo, den er der bevares, men den ser faktisk ganske fredsomlig ud."
142000,145000," Således at forstå, at der er markant færre, der dør med covid-19."
145000,149000," Der er markant færre, der indlægges i forhold til antal testet."
149000,155000," Og der er markant færre af de indlagte, der kommer på, hvad hedder det, intensiver i respiratoren der veje foran."
155000,161000," Kort sagt, det ser fredeligt ud, men ved du hvad, folkesundheden er så meget mere end covid-19 alene."
161000,166000," Vi er ikke en del af en corona-tegnsel, og ved du hvad, vi vil have vores frihed tilbage, du."
166000,173000," Og derfor håber jeg, at flest muligt af jer kommer ind i morgen på Bertel Thorvaldsens Plads kl. 17."
173000,175000," Og så går vi en dejlig tur sammen."
175000,181000," Du kan have din julehue på, du kan have fakler med, du kan have de skilte med, hvad du tænker."
181000,189000," Og så vil vi sende et klart signal til regeringen, til oppositionen, at vi vil have respekt, vi vil have ordentlighed, vi vil have ansvarlighed."
189000,191000," Og så vil vi have proportionalitet."
191000,198000," Vi vil tilbage til vores liv, vi vil kræve vores liv, vi vil ikke længere tales ned til, som om vi er små dumme børn."
198000,201000," For surprise, det er vi faktisk ikke."
201000,204000," Så jeg håber, vi ses i morgen. Kom hen og giv mig et knus."
204000,211000," Kom hen og lad os leve livet. Og for dem af jer, der har det her fine badge, så vil jeg stadigvæk sige."
211000,214000," Jeg lægger lige et link op, hvor du kan bestille det."
214000,216000," Du kan også komme forbi en af vores butikker."
216000,221000," Og med eller uden badge, så er du meget hjerteligt velkommen i morgen."
221000,223000," Så jeg glæder mig til at se jer derude."
223000,226000," Og det er nu, du har mulighed for at bakke op."
226000,229000," Det er nu, du har mulighed for at sende et signal."
229000,236000," Og så er det nu, du har mulighed for at flashe, hvis du har en ligeså meget blå mink eller anden farge."
236000,239000," Vi vil gerne ses, vi vil gerne mærkes, vi vil gerne føles."
239000,244000," Og så vil vi gerne give hinanden kærlighed, godhed og kræve julen tilbage."
244000,245000," Kan du have det godt."
245000,250000," Og så håber jeg, vi ses i morgen kl. 17 på Bertel Thorvaldsens plads ved Christiansborg."
250000,252000," Herinde i København. Vi ses."
252000,260000," Og forresten, send mig ind i en privat besked eller en sms. Jeg lægger også lige mit telefonnummer op."
260000,262000," Og så håber jeg, vi ses rigtig mange."
262000,264000," Det bliver en julefest."
264000,267000," Kan du have det godt. Vi ses. Hej hej."
267000,284000," [Tekstet af Nicolai Winther]"
