start,end,text
0,8500," Så er jeg tilbage. Jeg hedder Eve Kamalike og jeg står nu i families virksomhed her i smykkevirksomheden Klud CbH"
8500,11500," inde på Blejnumsvej 104 på Østerbro."
11500,17500," Der er parkering lige ved døren og metro, men jeg vil i dag vise, i går er den blå dame, i dag er den grønne dame."
17500,22000," Og i går viste jeg, hvor vi har læsebriller, der er grønne eller blå."
22000,26000," Vi har faktisk også læsebriller, vores populære læsebrille, der også er grøn."
26000,29000," Og du kan se i dag, der er jeg gennemført grøn."
29000,30000," Det er jul."
30000,36000," Men det sjove med grøn smykker, eller grøn nædesten, vi har rigtig meget med grøn onnings for eksempel, eller labradorit,"
36000,41000," det er, at det er faktisk en nædesten, der kan bruges hele år, fordi det er flot her til jul, ja,"
41000,43000," men det er faktisk også super flot om sommeren."
43000,45000," Hvad har jeg på for lige om at starte?"
45000,52000," Jamen, der har jeg taget vores meget populære godtes på, som jo er, og jeg tror vi ser bedst herovre i lyset, fandt vi ud af i går,"
52000,59000," super, super smuk, en god størrelse, og så har jeg taget halskæden på her med PureDrop."
59000,66000," Faktisk gør vi tit det, at vi tager en stor øgering på, en lille kæde, eller lidt større kæde, og en stor øgering."
66000,73000," Men vi kan faktisk, og har lige nu tilbud på sættet i det, der hedder PureDrop, og den tager vi lige på her."
73000,76000," Jeg kan lige vise den ene herovre, så vi kan se den i lyset."
76000,79000," Prøv at se, hvor flot det er med kæden her."
79000,82000," Hvor super smukt et sæt det er."
82000,85000," Og så viser jeg dig lige her, hvordan selve øgeringen ser ud."
85000,87000," Prøv at se, hvor flot den er."
87000,98000," Det sæt, det har vi lige nu tilbud på, så du sparer 900 kroner, så det sæt koster for øgeringene og halskæden 1299."
98000,108000," Jeg lægger link op bagefter, så du bør sikkert være bekymret for, jamen hvad var det nu hun viste, fordi dem viser jeg her."
108000,116000," Vi ser lige her, for vi har også det, vi kalder vores Classic-serie."
116000,118000," Det er også super smukt."
118000,120000," Der har du lige den lille grønne dut."
