start,end,text
960,4220," Her har du mig igen. Jeg hedder Vivica Malika."
4220,12220," Jeg står inde i vores vidunderlige butik Jules CPH herinde på Blegdamsvej 104 på Østerbro."
12220,16460," Og flere af jer har allerede været forbi at hilse på."
16460,23020," Og jeg opdager lige, at den ring jeg egentlig skulle fortælle historien om, den har jeg ikke taget med."
23020,24660," Men den henter jeg lige om en sekund."
24660,33360," Jeg vil lige sige, at jeg vil nu tale lidt om smykkers betydning som værdi."
33360,40660," Specielt i krisetider, specielt under for eksempel svær kommunisme, specielt under en inderøget statsminister."
40660,47360," Specielt når et land kommer ud i også økonomisk krise osv. eller en verden for den sags skyld."
47360,55060," Og der vil jeg fortælle lidt om nogle personlige historier, men også hvordan smykker bærer både noget reelt værdi,"
55060,56560," for eksempel diamant og guld."
56560,62260," Jeg har taget nogle eksempler med fra vores egen kollektion, nogle af dem mig har designet."
62260,70660," Men jeg vil også fortælle lidt mere generelt omkring smykker som netop værdi, og værdi i bred forstand."
70660,72660," Nu skal jeg altså lige hente ringen."
72660,78660," Hang ånd, og jeg har selvfølgelig gode tilbud med, og jeg har selvfølgelig også lidt leg med."
78660,80660," Det ville hinde mig dårligt, hvis jeg ikke havde."
80660,82660," Hang ånd, som man siger."
82660,96660," Så er jeg tilbage."
97660,100660," For det første vil jeg sige, jamen du kender det selv."
100660,106660," Du har garanteret et smykke eller flere, som er fra din mormor, eller fra din mor,"
106660,112660," eller da du blev konfirmand, eller da du blev student, eller da du blev læge, eller hvad det nu er."
112660,117660," Smykker bærer jo rigtig meget, hvad hedder det, historie med sig."
117660,123660," Her den anden dag var der en inden, der havde fået stålet rigtig mange af sine smykker, inklusive nogle fra os."
123660,132660," Og hun var jo decideret i tårer, ikke alene fordi, at smykkerne havde vis økonomisk værdi,"
132660,139660," men fordi de havde vanvittigt stor affektionsværdi, altså vanvittigt stor betydning for hende og hendes liv og hendes historie."
139660,144660," Langt større værdi end smykkes værdi som sådan lige i det tilfælde."
144660,148660," Og det kender du uden tvivl også, hvis du kigger på din egen smykkesamling."
148660,153660," Men derudover kan smykker jo også i sig selv have en regelret værdi."
153660,160660," Vi har rigtig mange, der er nu her i denne her forbattede coronakrise med en ekstrem indrød statsminister,"
160660,166660," en uhyggelig indrød statsminister, som jo i mange af vores øjne har bragt landet i uføre,"
166660,170660," folkesundheden, landets sikkerhed, alt muligt i uføre."
170660,174660," Men der er jo flere og flere, der interesserer sig for, skal vi sige, vejeværdi."
174660,178660," Fordi et eller andet sted, man har trykket penge og penge og penge, jamen det må jo medføre noget inflation."
178660,181660," Det må medføre, at pengenes værdi bliver mindre."
181660,187660," Det siger sig selv, når der er flere i omløbet, og man bliver forgældet, og et land bliver forgældet osv."
