start,end,text
840,5320," ♪ Ja, ja, ja, nu kommer jeg, jeg hørte du kalder ♪"
5320,11040," Jeg hedder Vibke Manike, jeg er tilbage på Facebook."
11040,13480," Jeg har været i Facebook-fængslet."
13480,17960," De troede mig med to døgn, det blev til tre, selvfølgelig -"
17960,22280," - uden forklaring andet end et eller andet faktuelt opslag, man ikke brød sig om."
22280,27160," Men nu er vi her ikke for at tale om Facebooks censur."
27160,29360," Censuren i det hele taget."
29600,35240," Jeg har jo mit sæng, ved du nok, der hedder ""I censuren skygge, blejner demokratiet""."
35240,37520," Men jeg vil hellere tale om den gode del."
37520,40560," Nemlig at nu laver vi en smykke-live."
40560,43160," Jeg deler det op i tre dele."
43160,46840," Først animal print, så sort og så blomstret til sidst."
46840,50560," Men jeg vil lige fortælle sådan en god historie fra dagen i dag."
50560,55120," Fordi ikke alene har jeg været ude og undervise."
55120,57880," Det gør jeg jo en del, holder foredrag, underviser kurser osv."
57960,62640," I dag var det for en tandpleje om angst og psykisk sårbarhed hos unge."
62640,66920," Men det er ikke så meget det, vi skal snakke om, det er mere den lille røverhistorie, jeg kom med tanke om."
66920,70800," Det var da jeg stod og skulle lede efter tusinder til overheden."
70800,78440," For det minder mig om, heldigvis blev mig og David, vores børn, ikke rigtig mobbet som børn, heldigvis."
78440,84240," Men der var én gang, hvor David, det var i børnehaveklassen, kom hjem, og han var meget keret."
84240,87360," Han var rigtig keret, fordi som han sagde, ved du hvad, mor?"
88080,90800," Vi sagde det her, og de store drenge, de drillede mig."
90800,93240," Jeg siger, hvorfor? Og vi sagde det her."
93240,96920," Vi sagde at tegne, og så bad jeg bare om, at jeg kunne få nogle flere kusser."
96920,99800," Ja, det kan jeg jo godt forstå."
99800,103360," Det var jo så tuser, han ville have, men det var altså kusser, de fik det til."
103360,108200," Det er det der med, når man lige har nogle år, hvor det kan være svært med T og K, hvis manden er for stor."
108200,110080," Han lærte os at sige tuser."
110080,113920," Og på helt anden måde har jeg indtryk af, at han blev lidt glad for at først nævne det."
114000,117480," Men det er en anden snak, men jeg synes selv, at han er meget sød, han er meget uskyldig."
117480,127320," Så har jeg også haft en anden god oplevelse i dag, nemlig at jeg for første gang i to år er blevet lyttet til sådan med åbne arme."
127320,134160," Nemlig i den uafhængige radio, hvor jeg blev interviewet af, hvad hedder han, Rasmus Jarlow?"
134160,137280," Fra de konservative, som har fået et radioprogram derinde."
137280,140680," Og jeg fik en, ja en halv time var det vel fri tal."
140680,142440," Nej, hvor var det befriende."
142840,153840," Ikke så meget fordi, jeg behøver så have alt taletid, men fordi jeg jo fuldstændig har været lukket ude i forhold til netop den faglige diskussion, ikke mindst i hvert fald mainstream."
153840,156040," Så det var bare, det var bare super lækkert."
