start,end,text
760,1960," Vi gør det live."
1960,6640," Jeg hedder Vebe Kemalike. Jeg står herinde i vores skønne Jewel CPH-butik."
6640,11360," Og bumsi-bumsi, i dag skal vi have fokus på diamanter."
11360,17680," Jeg har taget nogle af vores meget smukke single-cut diamanter smykker med."
17680,22680," Og så vil du jo sige, ""Diamanter, single-cut, hvad er det nu for noget?"""
22680,28480," Jamen, single-cut diamanter, single-cut, altså diamanter og brillianter er same-same."
28480,36320," Men single-cut diamanter er en lettere og dermed billigere slipning end brilliant-cut."
36320,42760," Brilliant-cut er den der klassiske, du har i de 56 facetter, som får den klassiske brilliant."
42760,46800," Og hvor der så kommer shine, fantastisk flot shine."
46800,53720," Single-cut er en lidt mere ældre måde at slippe, hvad hedder det, diamanten på."
53720,60000," Og det gør, at det får sådan et hej-hej og lige tilbage til dig med det."
60000,65200," Og lige præcis, exciting!"
65200,71160," Og får det her lidt mere rustikke look, som for eksempel den her kommer jeg til at vise."
71160,77600," Kan du se det? Den har sådan lidt mere antik look og er betydeligt billigere,"
77600,83920," fordi det typisk er ikke samme kvalitet diamanter som i brillianterne."
83920,94280," Det er diamanter, men de gradueres jo i forskellige kvaliteter, og så er det typisk de her meget små diamanter."
94280,102600," Det gør også, at det er en type diamanter, hvor det bliver presset ind i sølvet og ikke kan indfattes dermed i guld."
102600,109320," Så det betyder også, at det typisk er i sølv, og prisen samlet set, det er stadigvæk diamanter,"
109320,114920," og dermed har det stadigvæk en pris selvfølgelig, men det er ikke som brillianter."
114920,119600," Det betyder så samtidig også, at man kan få betydeligt større karatdiamanter,"
119600,126280," altså flere diamanter simpelthen for prisen, end hvis det var brilliantslæbende diamanter."
126280,134440," Jeg har fundet sådan en god flok frem af vores klassikere, og selvfølgelig på klassisk vis,"
134440,139320," så får du jo, yes, når jeg er i nærheden, en god rabat."
139320,146760," Det er rent praktisk. Er det jo sådan, at der er noget af det, der lopper, så skriver du ned i kommentarfeltet"
146760,157080," ja tak 1, eller 2, eller 3, eller hele muligheden, og så overfører du på mobile 23 74 3 og whup-ti-dup-ti,"
157080,164200," sender vi afsted. Selvfølgelig med kriterien og diamantcertifikat og så videre, så der er styr på det hele."
164200,172840," Jeg vil lige starte med den første, fordi der ser du en, som i mine øjne er en af vores meget,"
172840,180520," super smukke, single-cut diamanter med den her, og en stor hvid topaz."
180520,191000," Den er sådan helt prinsesseagtig. Den koster, inden rabatten, 3498, men det, og jeg siger men,"
191000,198440," det er så en sølv, rent, det er sølv, fordi det var det, jeg lige sagde, så er det en stor hvid topaz i midten,"
198440,211800," meget, meget smuk, kan du se den, og så er det single-cut diamanter rundt omkring den her smukke firekantede hvid topaz."
211800,220040," Den ligner en million, det er den jo, for så vidt også, ikke helt, det var 3498 før rabatten,"
220040,224040," men den er super, super smuk, kan du se det, vanvittigt smuk."
224040,232760," Den har vi i både stærlingssølv, som den er der, og i sort stærlingssølv, også her er den i sort stærlingssølv,"
232760,238200," der er den sådan lidt mere rå i det, og her er den i rent stærlingssølv."
238200,243720," Jeg skal lige se, hvad Guderen siger, hej hej fra Guderen, hej hej Guderen i Pandrup,"
243720,248680," og nu ved vi jo det i Nordjylland, det kan jeg da huske, Guderen."
248680,254440," De her ringe, prøv at se her, vi har dem her, den er altså i stærlingssølv, og her er den i sort stærlingssølv."
254440,261400," Sort er jo så en behandling af stærlingssølv, og er lidt mere råt i det, men, og det er et men,"
261400,268040," med tiden slides jo det sorte af, afhængig af hvor meget du vasker hen og med ringen på,"
268040,273000," og så bliver den som sølv, men den får en flot patina."
273000,277480," Det er tit, at I spørger os, når I er inde i butikken, jamen vi køber dine egne ringe,"
277480,281480," jamen det skal jeg fortælle dig, jeg tager dem jo altid af, fordi jeg er så nænt om dem,"
281480,287880," så det gør, at mine ringe aldrig får håndsæbe eller håndsprit, ikke fordi jeg ikke vasker hænder,"
287880,292280," men fordi jeg simpelthen sirligt tager dem af hver gang, og det samme når jeg sidder ved computeren osv.,"
292280,293640," så tager jeg dem også altid af."
293640,300200," Det gør, at mine ringe holder sig fantastisk godt, og en del af det er jo så også, at jeg sjældent får dem taget på,"
300200,306280," og så holder en ring sig rigtig godt, men den her, meget, meget smuk, der ser du lige her,"
306280,311080," og så har vi altså her den, hvor den er i ren sølv, og her hvor den er i sort stærk sølv."
311080,315560," Hvis du er interesseret i sådan en ring, så er det en, hvor du skal have den i din størrelse,"
315560,320840," altså 52, 54, 55, 60, den kan vi lave i forskellige størrelser."
320840,327480," Det betyder også, at du kan bestille den i dag, hvis det er, men så er der lige lidt leveringstid på den i din størrelse."
327480,330440," Lad os se. Priser, dem skal vi jo også have fat på."
330440,340680," Den koster normalt 3.499, men i dag 2.399, og er du interesseret, så siger du ""Ja tak"", nummer 1."
340680,345640," Så skal vi så finde ud af din størrelse, og ren praktisk skal vi så have størrelsen,"
345640,349240," og så bestiller vi den så til dig, og så går der to-tre uger."
349240,355160," Så vi har nogle enkelte polærer, der er den så i sort stærling sølv,"
355160,360120," og hvis vi har en polær i din størrelse, så får den jo selvfølgelig med det samme."
360120,367320," ""Ja tak"", nummer 1, i stærling sølv til 2.399, normal pris 3.499,"
367320,374760," og ""Ja tak"", nummer 2, hvis det skal være i sort stærling sølv, også til 2.399."
374760,377800," Men de er, kan du godt se, meget, meget kledelige,"
377800,380760," og jeg ved, flere af jer er vilde efter den, jeg ved, flere af jer har den,"
380760,385080," og flere af jer er ved at få den tilsendt osv., den er vanvittigt smuk."
385080,393560," Så har vi ambonde. Jeg har taget lidt ambonde med, faktisk dem jeg har på,"
393560,396280," nu kan du se i dag, jeg skal lige se hvad I siger,"
396280,401320," den her som helst, det er den nemlig, Annie, og den viser jeg lige med det samme,"
401320,406760," fordi jeg skal lige sige, jeg har jo taget to blå topaz-ambonde på,"
406760,410440," men jeg har også nogle med med diamanter, nu synes jeg så til den her kjole,"
410440,414760," og det er jo som jeg tit har sagt til dig, lad vær med at bruge en formod på kjolen,"
414760,420360," brug det heroppe. Den her kjole er lidt ligesom dem, du har set mig med nogle gange,"
420360,423560," jeg tror den kostede 400 et eller andet, og jeg tror den er købt,"
423560,426360," jeg kan ikke huske, men jeg mener, den er købt hos Sofie i Aarhus,"
426360,430600," og jeg siger det bare, fordi I tit spørger, ""Åh, hvor er den fra, Vibke?"","
430600,434440," så kan jeg lige så godt sige det med det samme, og nej, det er ikke en reklame,"
434440,440200," fordi jeg har selv købt den for, jeg vil ikke sige 100 år siden, men vel for flere år siden."
440200,445720," Så er der en af jer, der spørger, rigtigt, rigtigt, om den ring, jeg lige har vist, er som kæde,"
445720,452920," og jeppert, det er den, og nu tager jeg den lige på, så ops, ej, fumletumle,"
452920,458120," nu skal vi lige have den på, det er mest, fordi jeg er lidt forsigtig med mine fine negle,"
458120,462840," fordi nu har jeg lige fået dem ordentligt, jeg synes, de er så fine, sådan der,"
462840,467320," så det er mere neglende, jeg er lidt, prøv lige at se her, yes, så kører den,"
467320,472760," den er supersmuk som kæde, kan du se det, og det er den jo, fordi det er sterling-sølv,"
472760,477880," det er en stor hvid sopage, det er single-cut-diamanter, og den ligner jo en halv formue,"
477880,481400," og jo, jo, hvad koster den, lad os lige se på det, for jeg har også den med,"
481400,485320," og der har jeg en polær, så det skal du holde dig til, hvis det skal være din,"
485320,492120," igen, vi får den hjem, men hvis du vil have den nu, og jeg skal lige se mine egne krafts her,"
492120,501960," vent lige mig, jeg skal lige, nej, jeg skal lige give en pris, den koster 3699,- og i dag 2408,-"
501960,510040," jamen så henter jeg lige den, der blev hun faktisk sur, i skulle se her,"
510040,512200," hun går ud af døren, og så kigger hun på mig,"
512200,524200," hvad er det man kalder, sur citroner, sur citroner,"
524200,533640," nu er der ikke surt endnu, det bliver en rigtig god live i dag,"
533640,540280," men jeg vil bare vise, hvad jeg havde på,"
540280,547880," hun er ikke sur endnu,"
547880,554280," nej, hun tager over, så jeg smutter, vi ses lige pludselig,"
554280,556760," jeg har desværre ikke så mange gode vidtigheder som dig,"
556760,560200," men det gode er, at nu tager du mine oplader,"
560200,564200," hvis der er en ting vi gør herinde, så er det at vi hygger,"
564200,570040," for helvede da, så kommer hun og skubber sin mor ved,"
570040,574920," af vejen, for helvede da, hun er simpelthen,"
574920,579080," men nu tager mig, hun tager liven herfra,"
579080,581160," kan I fornemme, hvordan det var, da vi var børn,"
581160,587400," da mor hun blev sur, det gode er, kan I se mine øjne,"
587400,590920," de er meget store brune, det er rigtigt,"
590920,593160," jeg vil bare vise, hvad jeg havde på af smykker,"
593160,595880," det er Purit Elegant Drops,"
595880,599000," og nu har jeg Elegant Drops på, og så laver jeg en lille teaser,"
599000,602280," for at jeg også går live i aften kl. 19.30,"
602280,604600," fordi vi har lige fået hjem fra produktionen,"
604600,608360," en masse af mine forskellige varianter af Elegant Drops,"
608360,610440," i mange forskellige kombinationer af ædestæn,"
610440,613480," der gik min mor lige ud og hentede en Corona Zero,"
613480,616360," og så bliver stemningen uoptigt,"
616360,620120," nogen serverer Gevalia, andre serverer Corona Zero,"
620120,624600," nå, kan I nyde den forsatte live med min mor,"
624600,627400," med spredepadsen, for fanden da,"
627400,629880," det er kun fredag en dag af ugen, det er rigtigt,"
629880,633320," jamen det er også rigtigt, mor kunne blive sur,"
633320,635000," men mor bliver hurtigt god igen,"
635000,637640," men mor kan ikke lide at blive afbrudt,"
637640,642760," fordi så risikerer hun at glemme alt det, hun var i gang med,"
642760,644360," det er også rigtigt, det kan jeg godt leve med,"
644360,646520," at hun er kønnere end sin mor,"
646520,650040," og det er rigtigt, hun har de der smukke brune øjne,"
650040,651800," og når hun så kigger på en der, så tænker man,"
651800,653960," nej, der er skide hul i det, det går nok med skat,"
