start,end,text
960,4240," Prøv lige at se det her farveårke."
4240,5440," Er det ikke fantastisk?"
5440,12080," Og prøv lige at se, at man skulle nærmest tro, at den her fantastiske buket var købt lige præcis til min kjole."
12080,15360," Eller at kjolen var købt til buketten."
15360,18720," Nå, nu var det jo ikke buketter, vi skulle snakke om."
18720,23200," Jeg sætter den lige væk, men jeg synes bare, at den var så fantastisk flot, så du skulle se den."
23200,26240," Jeg hedder Vibke Mannike."
26240,30480," Og jeg er i gang med en smykkelive."
30480,33920," Jeg skal lige se, om der er hul igennem."
33920,36640," Øh, yes, det tror jeg, der er."
36640,40160," Er der nogen på linjen, som man ser? Prøv lige at se derude."
40160,42880," Nu kan jeg se, at der er nogen på linjen der."
42880,48480," Men så vil jeg nu lige stadigvæk vise. Jeg ved ikke, om du fik set den her fantastiske buket."
48480,54560," Men jeg synes bare, at den er så fantastisk til den her kjole."
54560,57840," Og hvis ikke det er et farvesblas, der vil noget."
57840,60960," Og det er præcis det, vi har brug for."
60960,67600," Farver og livsglæde og håb og happiness og samvær og fællesskab."
67600,70880," Alle de gode ting her i livet."
70880,73200," Jeg hedder Vibke Mannike."
73200,74560," Klokken er 13."
74560,77840," Og jeg vil lave en smykkelive."
77840,78880," Surprise."
78880,82000," Med fuld knald på farverne."
82960,90880," Men inden vi kaster os ud i det, så er det altså sådan, at jepper-depper, vi skal synge en sang."
90880,95760," Og dem, man er der og tænker for, fanden det gider jeg ikke, jamen så kan man jo bare slå og move on."
95760,101440," Og for jer andre, der vil jeg gerne have, at I finder frem på jeres smartphone eller hvad det nu er."
101440,104080," ""Skuld gammel venskab ren forgo""."
104080,107840," Og der tager vi tre af versene. De første to og det sidste."
107840,113600," Og I kan lige finde det frem, mens jeg så lige sidder og siger et par ord."
113600,119200," I går aftes holdt vi sådan en ""svare"", kalder man det vel kort sagt en sangeaften."
119200,129120," Og jeg er jo rundet af, som det så fornemt hedder, en glad ungdom i FDF/FPF."
129120,133440," I dag kalder man det vist kun FDF, det har jeg det skidt med, fordi jeg var en FPF'er."
133440,135680," Jeg var trods alt en pige og ikke en dreng."
135680,139360," Men jeg elskede at være FPF'er."
139360,143360," Jeg elskede at være på Silkeborgsøerne, hvor vi ikke svømte, jo det gjorde vi også,"
143360,146320," men vi sejlede flipper og joller osv."
146320,153920," Jeg elskede sammenhverdet, jeg elskede lejrbolet og ikke mindst fællessangen."
153920,156400," Hold da op, jeg kunne bare blive ved."
156400,163520," Jeg elskede det der med at sidde sammen og synge, eller stå sammen og synge, og fællesskabet."
163520,168400," For så vidt også, altså, det ved du, dem af jer, der har hørt mig synge, jeg synger pivfalsk,"
168400,169440," men jeg elskede det."
169440,176720," Jeg synes, der sker noget mellem os mennesker, når vi synger sammen, netop har en fællessang."
