start,end,text
940,7180," Så er jeg tilbage, Bibeke Madike, fra vores butik, vores familievirksomhed, Jules C.B.H."
7180,11460," Det er lidt spejlvendt, men det er fordi, at jeg optager på den her."
11460,15820," Men anyways, Blankdomsvej 104A, inde på Østerbro, parkering lige ved døren."
15820,25060," Du er hjertelig velkommen til at komme forbi og få smykke-styling, en god snak og ikke mindst se vores skønne, ægte smykker og få styr på dine julegaver."
25060,28440," Men jeg vil i dag snakke lidt om rose gold."
28440,35840," Rose gold er jo super populært. Vi ser det rigtig meget, f.eks. i uger, tøj og så videre."
35840,49580," I dag er jeg lidt af en leopard, men det gør, at jeg har udvalgt rose gold, fordi rose gold har sådan en blidhed."
49580,58040," Rose gold er i virkeligheden guld, hvor man har kommet en lille snas kover i, og så får det den her meget blide tone."
58040,65240," Jeg elsker rose gold, fordi når man når en vis alder, vi ændrer jo kulør med alderen."
65240,72120," Både er det trænligt hos de helt unge, men også hos os, der er begyndt at blive en rødmusse, men slags rødelig i det."
72120,77300," For så vidt også, hvis vi er blevet blege og vi ændrer lidt kulør, så er rose gold super flot."
77300,84080," Jeg har startet med at tage det her sæt på, hvor jeg har den her bicharm på."
84080,90360," Der er faktisk en rose quartz i den, og der har jeg nogle øreringe fra vores faceted-cykel."
90360,96720," Jeg skal nok lægge op, så du kan se bagefter, hvad det var egentlig for nogle smykker, Vibke viste."
96720,101900," Prøv lige at se her. Det er så rose quartz øreringer til den her halskæde."
101900,108180," Der var måske en af jer, der tænkte, var det ikke også en rose gold ring, Vibke har på, og jo, det er helt rigtigt."
108180,114520," Jeg ved ikke, om du kan se den tydeligt der, men det er så i ren rose gold."
114520,120340," Alt det andet, jeg viser dig lige nu, det er stærlingssyl og så rose gold."
120340,128700," Jeg vil også lige vise et par herresmykker, fordi nogle af jer spørger, hvad vi har af herresmykker, og det har vi også."
128700,136520," Så har jeg den her queen, og den synes jeg jo straks går ind og giver mit look en lille smule mere to high, to bang, kan man sige."
136520,143860," Det er en meget populær ørering. Vores øreringe er jo meget lette, og det gør vi, fordi de skal være til at holde ud og have på."
143860,153300," Det skal ikke være dig, der kommer gående sådan her med hovedet helt ned til grønne, fordi øreringene er så tunge, så de er meget, meget lette."
153300,160800," De her queen er også super populære, og jeg kan da godt lige prøve at lave lidt balance i det, så du ser på begge ører."
160800,165460," Sådan her, prøv at se. Altså det synes jeg jo er et super cool set."
165460,173780," Det jeg jo selv har taget på i dag, det må jeg jo være ærlig og sige, at dem af jer, der har set mig nogle gange lave de her videoer, ved, at jeg er rigtig glad for vores Mini Triple Leaps."
173780,181460," Vores Mini Triple Leaps, synes jeg, de giver både noget look, men de er heller ikke for dominerende."
181460,192120," Dem har vi jo lige nu tilbud på, og der tror jeg, det er 399. Jeg lægger igen et link op, så der kan du se, men normalt koster de 749, noget i den stil."
