start,end,text
960,5160," Vi er så klar. Det er lørdag, og der er høj musik herinde."
5160,14200," - Livet er en fest. - Man er vel vild med hands."
14200,17960," Det var ikke, fordi vi skulle danse for jer i dag."
17960,22040," Det var, fordi vi skulle tage lidt smykker, så nu slukker vi de musikken."
22040,25840," - Og lyset er faktisk supergodt lavet. - Det er supergodt."
25840,28640," - Det ser vanvittigt godt ud. - Hvis vi selv skal sige det."
28720,31000," - Vi viser lidt forskelligt. - Du er smuk."
31000,33160," Jeg har gode gener."
33160,37440," Nå, tilbage til smykkerne."
37440,40400," Jeg vil lige starte med at vise nogle af mine favoritter -"
40400,43280," - fra den nye kollektion. Jeg elsker dem."
43280,47320," Iconic Star med hvid topaz, rainbow, moonstone og kryds og pres."
47320,49600," Hvis du lige bakker lidt bagved, skal jeg lige vise."
49600,53880," Jeg synes, det er rigtig pænt. Nu har jeg bare sådan en Chanel-jakke på -"
53880,58320," - og en hvid t-shirt, og så synes jeg, at det her er sindssygt flot."
58400,61280," Og med løst hår. Perfekt til hverdag."
61280,66480," Så kunne jeg også i stedet for... Nu kan mor bare få lov at dankere lidt derude."
66480,72200," Jeg kunne også have taget dem her på med amazonitter, som også ville være rigtig flot."
72200,78360," Amazonit er jo en virkelig smuk eddesten, fordi den har det der grøn-grå skærm."
78360,83040," - Men nu skal jeg da også lige vise... - Jeg vil lige vise pure drop med amazonit."
83040,85080," Nej, jeg er ikke sådan, der får banen."
85160,88760," Prøv at se her. Hvis man ikke er til store ører..."
88760,92000," Hvis man ikke er til store ørerringe, så er pure drop en sikker vinder."
92000,94200," Det er også en perfekt julegave."
94200,97080," Jeg ved ikke, hvad mor har spist til måneder."
97080,100000," - Måske ikke noget af det der problem. - Ingenting af det der problem."
100000,104640," Men pure drop med amazonit... Pure drop er en rigtig, rigtig god model -"
104640,108320," - hvis ikke man er vant til at bruge store ørerringe og ørerringe generelt."
108320,111720," Den giver bare lige noget. Den hænger, bum, og giver lidt kulør."
111720,114240," - Hvad vil du så gerne? - Så kommer jeg."
114320,118600," Prøv lige at se her. Jeg så det måske i går, men det er en rigtig fin kjole -"
118600,122080," - med mange forskellige farver i. Nu har jeg lige taget den på for at vise."
122080,125000," - Fordi her er med granaten. - Præcis."
125000,129680," Og husk nu, vi har jo 40 % på alt, så det er jo nu, du skal have købt dine julegaver."
129680,132200," Ikke mindst til dig selv."
132200,134840," Prøv lige at se her, hvor smukt de er til den her."
134840,138560," Man går ind og finder lige en lille farve her, og blumsi-bumsi, så tager man..."
138560,143560," Jeg vil lige se dem, som mig også lige havde, fordi tit siger I, at det er rart at se dem på."
143640,146560," Det kan jeg godt forstå, fordi så ser man størrelsen og så videre."
146560,149720," - Prøv lige at se her. Der er en, der er det. - Det er den store størrelse, Gracies."
149720,152600," - Den er nemlig god. - Og det er faktisk også Gracies, jeg er ved at vise her."
152600,155720," Jeg synes, hvis nu jeg ville gøre det look, jeg har på, mere rødt..."
155720,157800," - Hvis du lige baner på det... - Nej, men det ved jeg ikke."
157800,161920," Det er altså, når to lænser-lues kommer op og slås, så giver det altså blå mærker."
161920,164800," Prøv at se. Blå... Hvad hedder det? Blå kalsedon."
164800,166720," - Blå koriander, undskyld. - Nej, blå kalsedon."
166800,169040," Blå kalsedon, ja, men jeg skal lige miste hele."
169040,174160," Med sort sølv, så bliver den rigtig flot mørkeblå. Sådan dybblå, ikke?"
174160,177120," Man tænker bare, at man har lige lyst til at hoppe i bølgenblå."
177120,179680," Og det vil gøre det her look mere rødt."
179680,182840," Og så kommer jeg lige tilbage. Prøv lige at se dem her."
182840,187360," Også til den her kjole. Det var Gracies, men så kunne det altså også være..."
187360,190440," Hvad hedder det? Pure Drop. Prøv lige at se. Det vil også være flot."
190440,193640," Den synes jeg faktisk er for lille til den her kjole, fordi der sker så meget på kjolen."
193720,197120," Hvis man ikke skal suge al energi ud af lokalen."
197120,201080," Hvis man ikke skal lige være den, der fylder det hele, så synes jeg, det er i orden."
201080,203800," Men apropos stort og småt."
203800,207400," Her er ballonen i de to størrelser, som jeg har lavet den i."
