start,end,text
0,3120," Her har du mig igen."
3120,6960," Jeg må indrømme, at jeg var nødt til at lave den her live."
6960,12320," Jeg tror aldrig, du har set mig lave live fra bilen før, men jeg må sige, at jeg er umådelig rystet."
12320,20120," Jeg så lige, at denne her unge mor, som havde holdt en tale ved en demonstration, har fået to års fængsel."
20120,22120," Og jeg er simpelthen så rystet."
22120,29520," Jeg kommer til at tænke på, at da jeg var 30 år, da var jeg ung læge, da havde jeg to børn på henholdsvis fem og seks år."
29520,38240," Og det havde jo været en sand katastrofe, både for børnene og for mig og for vores familie, hvis man var blevet idømt to års fængsel."
38240,45520," Og så kan man selvfølgelig sige, at hvis man fortjener en straf, men nu er vi lige nødt til at holde fast i værre forseelsen."
45520,47520," Jeg kender ikke den unge kvinde."
47520,53920," Men jeg så hendes tale live. Jeg var ikke til demonstrationen, men nogen livestreamede den, og jeg så den."
53920,57040," Den var i mine øjne fuldstændig usammenhængende."
57040,65680," Hun blandede alt muligt ind omkring pædofili og alt muligt, og det eneste, jeg tænkte, var, at få hende ned igen."
65680,71120," Fordi det var fuldstændig usammenhængende. Det havde overhovedet ingen mening for den sætting der."
71120,76000," Og hvad hun end sagde, jeg tror dolde, at der var nogen, der lyttede til hende."
76000,78480," Ikke at sige at uger er tolkfrie, det er de bestemt ikke."
78480,84240," Men jeg synes, der skal være noget retfærdighed. Jeg synes, der skal være noget rimelighed i en dom."
84240,88880," Hvad jeg sådan tænker på, hvad jeg har været udsat for, er ekstremt grov chikane."
88880,93920," Ikke kun det her sidste år, men i det hele taget. Men det sidste år, det har jo været helt vildt i starten."
93920,99120," Hvad jeg ikke fik af dødstrusler. Hvad jeg ikke fik af alt muligt skrammel."
99120,105520," På et tidspunkt anmeldte jeg nogle af de der dødstrusler. Det var imodvæk folk, der ønskede, at jeg skulle dø."
105520,108480," Jeg tror, jeg fik otte eller ti, og jeg tror også, at jeg anmeldte dem."
108480,114960," Men jeg fik en lakonisk fra politichef, at det kunne man ikke gå, og det måtte man tåle, og jeg ved ikke hvad."
114960,121440," Kort sagt, det havde ingen konsekvens overhovedet. Uagtet, at man vidste, og det var så i det her tilfælde sjovt nok, mænd, der havde udøvet det."
121440,124000," Nej, der var ikke noget at tage sig af."
124000,129600," Vi ved, at vi har en statsminister, der har lodget gentagende gange over for befolkningen."
129600,137600," Det betyder, at hun kan faktisk straffes efter straffeloven. Hun kan få op til to års fængsel for at løbe ifølge ministeransvarsloven"
137600,143440," over for befolkningen, over for Folketinget. Det er dokumenteret. Det har kommissionsrapporten selv dokumenteret."
143440,149440," Hun er ikke engang blevet afsat. Jeg synes, der mangler noget retfærdighed."
149440,159040," Ikke at jeg siger, at den ene ugærning forsvarer den anden, men jeg synes, at på en eller anden måde, er vi jo nødt til at have proportioner, også i dommene."
159040,165520," Og her har vi altså en ung kvinde. Ja, hun har stået til en demonstration. Ja, hun har sagt noget, der var garkelak."
165520,176240," Ja, hun kan få en bøde for min skyld også gerne, men at give hende to års fængsel, det er jo helt ud af proportioner med noget som helst."
176240,182000," Åh jo, det er coronaloven og dobbeltstraf. Jamen, det må jo stadigvæk stå i forhold til ugærningen."
182000,188880," Det må jo stadigvæk stå i forhold til, hvad er det en voldtægtsforbryder for? Er det fire måneders klap på kinden?"
188880,197200," Altså et eller andet sted, så der helt ud af proportioner. Og når Anna er mig bekendt, var det ikke hende, har hun ikke kastet med nogen sten,"
