start,end,text
960,3720," Hej hej, så er krudtuglen tilbage."
3720,7080," Jeg hedder Vibke Mannike, jeg er læge, jeg har en socialmedicinsk Ph.D."
7080,13880," Og så har jeg faktisk beskæftet mig med forkomsten af sygdommen i en meget, meget stor andel af min lægerlig karriere."
13880,17400," Gør det fortsat, og gjorde det også i forbindelse med min Ph.D."
17400,21920," Jeg har haft med smitsomme sygdomme, og gør jeg har med rådgivning i forhold til smitsomme sygdomme."
21920,27200," Jeg har med det hele taget, hvad fejler befolkningen, hvad fejler du og jeg, sådan rent epidemiologisk."
27200,31880," Og så har jeg også arbejdet med sjældne sygdomme, haft rigtig meget at gøre med."
31880,36120," Hvad ser vi af ophobning af denne type sygdom frem for en anden, og så videre."
36120,40320," Så det vil sige, det er faktisk et felt, jeg ved rigtig meget om."
40320,44920," Så vil jeg også sige tusind tak til dig derude. Det er rigtig dejligt med den opbakning, vi får."
44920,48160," Dejligt med alle jeres beskeder, sms'er."
48160,52600," Og for guds skyld, tag del i den her meget, meget vigtige debat."
52600,57360," Fordi det her, det er jo om noget en udfordring for vores demokrati."
57360,62920," Så vil jeg give en opdag på, hvordan ser situationen, coronasituationen ud, lige her og nu."
62920,68440," Jamen for det første tror jeg, eller kan jeg se, at vi alle sammen begynder at være ret enige om,"
68440,74600," der er ikke noget, der står i sol, måne og stjerne, for at vi er på vej ind i en bravende coronaepidemi."
74600,79880," Vi har et coronaudbrud, det er klart. Vi har en pandemi ud over verden, det er også tydeligt."
79880,85840," Men der er intet i tallene, der tyder på, at vi er på vej ind i en bravende coronaepidemi."
85840,88840," Og gudske tak og lov for det."
88840,95840," Så kan man så sige, jamen hvad er det så for nogle tal, og hvordan tolker man de tal, og tolker vi dem overhovedet rigtigt?"
95840,102560," Jamen til det må jeg bare sige, at det er et uhyggeligt spændtet talgrundlag, som der forelægger, det er helt rigtigt."
102560,106680," Og det er så spændtet et talgrundlag, så jeg stadigvæk må holde fast i,"
106680,114360," at jeg har ikke fantasi til at se, hvordan man kunne gætte, lave gisninger, tro osv. på så spændtet et grundlag,"
114360,118640," i forhold til regeringens meget omfattende indsats."
118640,121920," Så har nogle af jer spurgt og stillet mig lidt forskellige spørgsmål."
121920,129200," Og blandt andet er I meget optaget af det her med, hvor mange der ender på respirator, intensivbehandling osv."
129200,133880," Jamen det jeg har efterlyst, og det jeg stadigvæk efterlyser, det er proportioner."
133880,140560," Hvis vi tager antallet, der er døde, nu er det så gjort op til i dag, at der er 41, der er døde med corona."
140560,149040," Vi ved, at en del af dem er ældre, vi ved, at de har det, vi kalder komorbiditet, altså de fejler også nogle andre ting."
149040,152760," Det vi ikke ved er, er det en genindlæggelse, hvad som egentlig hjælper."
152760,159080," Vi ved så meget, at de er døde med corona, men det er ikke ens betydende, at de er døde af corona."
159080,164960," Det der er interessant, i samme periode, hvor vi taler om 41, der er døde med corona,"
164960,171200," så er der faktisk døde i samme periode herhjemme i landet 3.700 mennesker."
171200,178560," Jeg synes også, de fortjener lidt opmærksomhed, fordi det er jo sådan set også en del af vores samfund, af vores fællesskab, de her mennesker."
178560,179600," De er ikke glemt."
179600,183120," Det er som om, at det hele handler om corona."
183120,187480," Med det resultat, at det faktisk har rigtig alvorlige konsekvenser for døende."
187480,191240," Jeg hører om døende, der må ligge alene, eller hvor der kun er én ved dem."
191240,195720," Jeg hører om alvorlige syge, som ikke får den udredning, de skal have."
195720,200480," De får den behandling, der er iværksat, men kontroller, derude bliver genoptræning."
200480,205960," Derude bliver meget, meget vigtig genoptræning til folk, der har brækket alle mulige knogler."
205960,213400," Jeg hører rigtig mange historier derude fra jer og fra folk, der virkelig er alvorlig syge, der lider under det her."
213400,215680," Og det er det, jeg efterlyser proportioner."
215680,222280," En cost-benefit-analyse af, okay, det her indsatsen, hvad kommer den til at koste samfundet i coronaøret?"
222280,225040," Det kan vi allerede se, det er jo en økonomisk katastrofe."
225040,227640," Men hvad har det her betydning for fællesskabet?"
227640,233160," Hvad har det her betydning for dit helbred, for din udredning, for din behandling, for din genoptræning?"
233160,234880," Det har vanvittigt stor betydning."
234880,241480," Fordi alt andet lige er alt andet sat on hold, alt andet sat i bero."
241480,249080," Så synes jeg også, vi skal sætte det i relation til, hvad der vi har, da vi havde f.eks. i 17-18 en meget, meget stor influenzaepidemi."
249080,253880," Der døde 2.822 ifølge Serum Institutes egen tal."
253880,256320," Jamen, det betyder jo igen med proportionerne."
256320,261080," Hvis vi hver gang der var en ny, der var død, ikke at sige, at det var tragisk, det er slet ikke det,"
261080,265800," men hver gang vi skulle lave breaking news på medierne, så ville vi altså få travlt."
265800,274680," Og det er den her eneårethed, det er den her ensidighed, som jeg synes er både skræmmende og et kæmpe anslag her mod demokratiet."
274680,279840," Så det jeg egentlig forsøger, og det er da egentlig mit budskab, det er 1."
279840,288000," Det er et vanvittigt spændtet talgrundlag, som regeringen bygger hele det her meget, meget store indgreb i forhold til befolkningen på."
288000,289000," 2."
289000,290760," Jeg savner proportioner."
290760,299120," Proportioner i forhold til det, som rigtig mange fejler lige nu og ikke får en tilstrækkelig og ordentlig og god behandling og indsats for."
299120,305040," Jeg savner proportioner i forhold til, at af samme øjeblik, der dør der mennesker og alt muligt andet."
305040,307560," De får overhovedet ingen opmærksomhed."
307560,311880," De bliver tværtom stillet eller skubbet væk."
311880,315000," Så skal vi også se proportioner i forhold til, hvad er det, vi vil opnå?"
315000,316240," Hvad er det, vi vil undgå?"
316240,317600," På hvilket grundlag?"
317600,318920," Og hvad koster deres?"
318920,322120," Hvad koster deres liv, forstår man ret?"
322120,326600," Hvad koster det i forhold til, at du f.eks. ikke får den udredning, du skal have?"
326600,330040," Hvad koster det i forhold til den handicappede, der ikke får sin genoptræning?"
330040,333080," Og hvad koster det samfundet i kroner og øre?"
333080,336600," Så det er de proportioner, jeg efterlyser."
336600,345320," Så mener jeg, at der er rigtig mange ting, som det jo meget tydeligt ser ud til, at regeringen, Sundhedsstyrelsen, det er lidt svært at sige, hvem der har skylden, måske har oversøgt."
345320,351480," Og det er jo det, vi kan se her fra WHO, hvor man har sagt test, test, test."
351480,359720," Og det fører mig tilbage til det, jeg sagde før, nemlig at vi har et forbausende spændende talgrundlag til hele det her cirkus, vi er i gang med."
359720,366240," Poenget er bare, at det har meget alvorlige konsekvenser for dig, for fællesskabet, for vores økonomi."
366240,369400," Og derfor beder jeg bare til, at man tænker selv."
369400,375040," Jeg beder til, at du tænker selv og tænker, jamen står det egentlige forhold med alt andet?"
375040,378360," Og det er jo bare mit svar, nej, det gør det ikke."
378360,387360," Så tilbage er, lyt, lær, sæt dig ind i det, og så tag aktiv del i den her debat på en ordentlig måde."
387360,399600," Vi ser noget hate, det tager vi os ikke af, men vi ser og lytter selvfølgelig rigtig meget til også gode argumenter og til velfunderede argumenter, men jeg må bare sige, indtil videre,"
