start,end,text
920,2920," Så er grønnehulen tilbage."
2920,6400," Det er tid til at give en corona-update."
6400,9920," Og jeg skal lige starte med, hvem jeg er for dem af jer, der ikke ved det."
9920,11920," Jeg hedder Vibe Kemalike, jeg er læge."
11920,13920," Jeg har en socialmedicinsk pvd."
13920,20200," Og jeg har på rigtig mange måder beskæftet mig med, hvad fejler befolkningen i en meget stor del af min lægelig karriere."
20200,27200," Både i forhold til sjældne sygdomme, ikke så sjældne sygdomme, smitsomme sygdomme i forhold til dagpasning og rådgivning osv."
27200,32200," Kort sagt, det her er et område, som jeg er det, man kalder lægefagligt, velbevandret i."
32200,34200," Så har vi det på plads."
34200,42200," Så vil jeg jo sige, at det glade budskab er jo stadigvæk, at der er intet i de tal vi har, de seneste fik vi i går aftes,"
42200,46200," som viser, at vi er på vej ind i en bravende corona-epidemi."
46200,48200," Jamen det er jo vidunderligt."
48200,52200," Det er jo det glade budskab, det er sådan set det, jeg har forsøgt at give hver eneste dag nu i flere uger."
52200,54200," Men det er jo altid rart at have ret."
54200,58200," Og det er vidunderligt, at rigtig mange af os begynder at sige det samme."
58200,63200," Så jeg er ikke alene om at kunne se den trin nu, og det er jo virkelig skønt."
63200,69200," Så er foråret vores ven, og derfor glæder jeg mig også over, at vi har det her vidunderlige forår."
69200,77200," Fordi det er vores ven, ikke mindst når vi skal ind og sikre os, at vi ikke kommer ind i f.eks. en corona-epidemi."
77200,84200," Men jeg vil godt lige give en opdagel, fordi jeg vil godt lige efterlyse, og det er jo det, jeg har gjort hele tiden."
84200,89200," Et af tallene, noget andet end sæsonvariationen, men også proportioner."
89200,92200," Proportioner i forhold til lige med corona og andre sygdomme."
92200,97200," Proportioner i forhold til, hvad er det, regeringen har gjort i forhold til at lukke hele landet ned,"
97200,102200," og på hvilket meget, meget lille og meget, meget tyndt grundlag."
102200,108200," Hvis vi tager proportionerne i forhold til corona, f.eks. kontra influenza."
108200,117200," Jamen, da vi havde influenzaepidemien i 17-18, der døde der, ifølge Serum Instituttet, 2.822 mennesker."
117200,119200," Nu er der dødt 54."
119200,125200," Så du kan godt se, at det er jo en lille brøddel af, hvor mange der faktisk døde af influenzaepidemien."
125200,130200," Og der var ikke en eneste, der gjorde det til breaking news, og det var faktisk breaking news."
130200,134200," Når vi går ind og ser på samme periode, som man nu har fulgt tallene,"
134200,141200," og siden vi havde det første diagnostiserede tilfælde herhjemme, 27.2. i år."
141200,144200," Jamen, der er så død 54 med corona."
144200,146200," Det er ikke ens betydende med, at de er død af corona."
146200,151200," Det kan vi se fra tallene i Kina, fra Italien, og nogle af de opgaver, som vi allerede har fået herhjemme,"
151200,155200," at det er typisk ældre, og det er typisk nogen, der i forvejen fejler flere ting."
155200,157200," Men lad det nu være."
157200,159200," Der er død 54 med corona."
159200,165200," I samme periode, herhjemme i landet, der er død 4.500 mennesker."
165200,171200," Så det vil sige, at de der 54 procent, det er lige en snas over 1 procent."
171200,177200," En af de her 54 mennesker, som er død med corona,"
177200,182200," det er altså en bittesnas af, hvad der i øvrigt er død i samme periode herhjemme,"
182200,184200," nemlig 4.500 mennesker."
184200,189200," Så jeg prøver sådan at få proportioner i forhold til, godt hvad er det med corona,"
189200,192200," og hvad er det i øvrigt, vi slås med derude."
192200,197200," Så synes jeg også i forhold til proportioner, at man skal se, hvad er det for en pris,"
197200,203200," du og jeg, samfundet, fællesskabet, lige nu betaler for det her meget, meget voldsomme indgreb"
203200,205200," på den meget, meget tykke grunde af."
