start,end,text
960,3760," Halløj, så er krudtuglen tilbage."
3760,6980," Jeg skal lige sige ganske kort, jeg hedder Vibeke Madike og jeg er læge."
6980,11120," Nogle af jer har hids på mig før, men jeg vil alligevel lige sige to ord om mig selv."
11120,16580," Jeg er læge, har en socialmedicinsk BJD og har i en meget, meget stor andel af min lægelig karriere"
16580,19360," beskæftet mig med forekomsten af forskellige sygdomme."
19360,22320," Hvad fejler befolkningen, sjældne sygdomme."
22320,27660," Og så har jeg mange år rådgivet ikke mindst afpasninger i forhold til smitsomme sygdomme."
27660,33440," Og det betyder, at om man så må sige smitsomme sygdomme og sygdomme i det hele taget og forekomsten af dem,"
33440,36840," jamen det er en del af mit, skal vi sige, lægelig DNA."
36840,43980," Og det gør så også, at jeg jo i den her situation med coronaen har gået forrest og går forrest"
43980,47240," i forhold til det her med at afdramatisere."
47240,51840," Ikke at vi ikke har et coronaudbrud, det har vi, men, og det er også det vi kan se i dag,"
51840,60320," at tallene er stabile. Der er intet, der tyder på, ej heller nu, at vi er på vej ind nu i en bravende coronaepidemi."
60320,62800," Så det er jo det gode glade budskab."
62800,66320," Så vil jeg sige tusind tak for al jeres opbakning derude."
66320,69920," Det er simpelthen en fornøjelse at opleve jeres opbakning."
69920,76920," I skriver, I sender sms'er, I liker, I laver hjerter, altså det er super fin opbakning."
76920,80140," Det er så lidt spas, kan man sige, er det vel ikke, men det er lidt sjovt."
80140,87740," Nogle af jer kalder det ligefrem en frihedskamp, og et eller andet sted begynder jeg måske at kunne følge jer en lille smule i det."
87740,92480," Men det der også er dejligt at se, det er at skuldrene er ved at komme lidt ned,"
92480,101040," frygten er ved at forlade jer, corona, frygten er ved at forlade jer, massepsykosen er ved at slippe sit tag i befolkningen,"
101040,104000," og jo heldigvis også i forhold til medierne."
104000,110080," Og det er jo rigtig godt, fordi så begynder vi jo at tænke selv, vi begynder at stille de kritiske spørgsmål,"
110080,117800," og vi begynder selvfølgelig i fællesskab at stille krav om, at når man laver så voldsomme indgreb på en hel befolkning,"
117800,122800," så skal der være rigtig gode grunde, ikke mindst lægefaglige grunde."
122800,127280," Som jeg har sagt mange gange, så er forhåret jo vores ven."
127280,134280," Det er det jo af mange grunde, men det er det i særdeleshed også nu, når vi har smittehåndsygdom, når vi er bange for for eksempel corona,"
134280,145280," så ved vi at alle virus i flertal, de har og vil have en form for sæsonvariation."
145280,151280," Og det betyder også, og det har jeg jo sagt hele tiden, at så mange grunde ville det være utænkeligt,"
151280,156280," hvis vi nu og på denne her årstid skulle få en bravende coronaepidemi."
156280,163280," Når andet er til efteråret, det er en helt anden snak, der skal vi højst sandsynligt indstille os på, at det kan blive virkeligheden."
163280,170280," Men så har vi forhåbentlig endda fundet ud af, hvordan det behandles bedst, vi har forhåbentlig fået en vaccine osv."
170280,179280," Men det jeg bare vil sige er, uagtet at vi så ikke er på vej ind i en bravende coronaepidemi, så er det hele tiden det her med proportioner."
179280,184280," Jeg har hele tiden, og det gør jeg stadigvæk efterlyst, proportioner i det her."
184280,194280," Det er jo sådan, at i samme tidsperiode, som der nu er 72, der er døde med corona, ikke nødvendigvis af corona,"
194280,198280," men med corona, der er altså død cirka 4.500 mennesker herhjemme."
198280,204280," Blot for at sætte det lidt i perspektiv, ikke at jeg ikke siger, at det er noget skidt med corona, det siger jeg bestemt ikke,"
204280,207280," men jeg siger bare, lad os lige få noget proportioner ind i det."
207280,213280," Det er altså 4.500 mennesker, og som jeg har sagt en del gange før, det vil være lidt af nogle breaking news,"
213280,219280," hvis hver gang der var en mere, der døde, uagtede, hvor sørgeligt det er, at vi skulle have breaking news,"
219280,222280," fordi det er som sagt 4.500 mennesker."
222280,229280," Så må man sige, med den viden, vi har nu, og med den forsatte, det sparsomme data, vi har,"
229280,234280," det må vi stadigvæk sige, det er forbausende sparsomme data, men det er jo så også på grund af det her med,"
234280,240280," at man ikke har testet til strækning, men uagtede det, og fordi tallene er så fredelige, og fordi meldingerne er,"
240280,246280," for mine kollegaer, der er ude i praksis, i lægevagten, ude på akutafdelingerne,"
246280,250280," jamen det er jo, at man ligger ikke underdrevet."
250280,254280," Det er fredeligt hos lægevagten, det er fredeligt i praksis, det er næsten for fredeligt,"
254280,259280," fordi det er som om, at folk har glemt, at der er andre sygdomme end corona,"
259280,266280," og det er fredeligt alt andet lige på akutafdelingerne, i forhold til den her frygt, det her scenario,"
266280,272280," de her gidsninger om, oh my god, vi skulle bruge, jeg ved ikke hvor mange akutpladser,"
