start,end,text
920,5720," Så er jeg tilbage, og ved du hvad, du har helt ret, så jeg er en lille smule for sent på den."
5720,10880," Men sådan er det jo, når man er en travl dame, og vi har jo flere live-videoer, der venter."
10880,15720," Men den første her, den skal egentlig handle om smykker."
15720,25720," Og jeg har fundet lidt smykker frem i forhold til, hvad vi har af gubider herfra."
25720,32400," Jeg skal lige se igen, om den driller mig lidt, men nu er den der i hvert fald."
32400,41360," Velkommen til, og jeg viser lige lidt smykker, for det er faktisk sidste dag i dag, vi har 40% på alle vores ægte smykker."
41360,49120," Og en af dem er, at jeg bad mig om at tage granatsættet på, som jeg også har flagt op her med en tærdig god pris til 1.500."
49120,54240," Og det har jeg taget på her, hvor man kan se kæden, super fin længde, man kan jo få en firelængde."
54240,61360," Jeg synes lige præcis det her sæt er super sødt, og så faktisk øreringene, prøv lige at se engang, hvordan det er."
61360,73200," Vores Pjordrop-serie er en rigtig god størrelse, fordi det er sådan en lille elegansstørrelse, som både er på samme tid elegant,"
73200,76160," og du lige ser den her granat, som det er."
76160,82680," Jeg vil lige vise dig den her, for at se hvor vidunderligt smuk granaten er, og det er så med tilsvarende kæde."
82680,88920," Og det var der, hvor jeg lagde op, at man kunne købe sættet for 1.500 kroner, så det er et rigtig godt julesæt,"
88920,92960," både til dig selv, men også hvis der er en, du skal få kæle."
92960,98880," Alt det, jeg viser dig nu, vi har faktisk også både guld og diamant, og det er så ikke det, jeg har fundet frem til nu."
98880,104600," Det er sterlingsyl forgyldt, meget stærke forgyldninger, og så er det ædelsten."
104600,112000," Vi går rigtig meget op i ædelsten, når jeg siger 'vi', så er det jo Jules CBH, som jo er en familievirksomhed, vi har haft i 15 år."
112000,119280," Vi gør meget ud af det ægte, det er vores eget design, og så er det jo klart, at juletiden er om noget smykketid,"
119280,124080," fordi vi kvinder kan jo godt lide smykker, det kan jeg røre for jer gentleman, der sidder derude."
124080,129400," Hvis der er noget, vi er glade for, jeg taler også af egen erfaring, så er det faktisk smykker."
129400,137800," Men det betyder altså, at alt jeg viser dig, det er med 40% rabat, jeg lægger ned bagefter et link, så du kan se det her sæt,"
137800,144520," at hvis du er interesseret i det, så send mig lige en melding, en privatbesked, for det er endnu bedre tilbud,"
144520,153000," altså ørering og halskæde, det var mere end 40%, men ellers lægger jeg et link op, og så kan du så bruge rabatkoden PINK,"
153000,155320," og så bliver der fretrukket de 40%."
155320,163800," Så vil jeg lige vise dig den her, som er en super fin lille ørering, 'Kvini' hedder den, inden at den er 40%,"
163800,168000," jeg tror den ligger lige omkring 525, og så trækker vi de 40% fra."
168000,174400," Prøv at se, nu er jeg sådan lidt, jeg har undervist i dag, i sol faktisk, og det vil sige, at jeg har den her kjole på,"
174400,182200," som er meget behagelig, og som sådan er lidt klassisk, en sort med lidt striber i, og der synes jeg jo, at det er super flot til lukket,"
182200,188400," fordi det er meget let ørering, så det er ikke noget med, at ørerne bliver hævet ned til knæene, havde jeg nær sagt,"
188400,193600," eller hvor barmen gemmer sig dernede i stedet for knæene, det sidder let og elegant."
193600,199800," Den her hedder som sagt 'Kvini', og jeg lægger op bagefter link, så du kan se."
199800,207200," Vores bedstseller, det er faktisk det her 'Mini Triple Leaf', som jeg ved også nogle af jer, der ser med, har,"
207200,212000," og det er en ørering, som er fantastisk god faktisk til alle aldre."
212000,219000," Jeg har taget 'Rose Gold' på, 'Rose Gold' er super flot, også til alle aldre, den giver sådan en blidhed,"
219000,222200," hvor forgyldninger eller guld nogle gange kan blive meget gult."
222200,229200," Den her er en super flot størrelse, den koster lige nu 399, så det er endnu mere end 40%,"
229200,233200," jeg tror normalt ligger den lige omkring 749."
233200,239600," Er man sådan til et større ørering, så er en af vores meget populære øreringer hedder 'Queen',"
239600,245800," jeg skal lige finde jer derude, hvor I er, den findes i forgyld, ligesom det her, i ren stærlingssyl."
245800,251600," Jeg vil næsten lige vise, hvordan stærlingssyl ser ud, eller i sort syl for densags skyld,"
251600,257600," det kunne jeg faktisk også have valgt at tage på, de er super rå og flotte, men nu har jeg taget dem her på."
257600,262600," Og så kan du godt se, der sker pludselig noget helt andet i forhold til mit look fra før,"
262600,267600," hvor det var sådan nedtonet, nu skal jeg så til party, og så har jeg så taget dem her på,"
267600,271600," og så den samme kål, jamen så sker der lidt mere, den hedder 'Queen'."
271600,277600," Hvis man så er lidt til noget, der er lidt mindre, så er det her også en super god hverdags ørering,"
277600,282600," også en øring, som rigtig mange kan bruge, den hedder 'Mini Hoops', og igen, jeg lægger link op,"
282600,288600," og du er også meget velkommen til at sende mig en privat besked, som flere af jer allerede har gjort,"
288600,291600," og jeg hjælper også meget gerne, hvis du siger, at jeg skal købe en gave til hende,"
