start,end,text
0,14000," I dag er vores samtalebog Kuro Pou udkommet, og derfor fortæller vi lidt om, hvorfor vi har valgt at lave Kuro Pou."
14000,16000," Hvorfor, mor?"
16000,21000," Det er et godt spørgsmål. Det gode er, at jeg har min second-in-command lige ved siden af mig."
21000,27000," Så mig har jo været min tro-væbner i hele forløbet, og lige fra dag 0."
27000,31000," Og det har jo været ret vigtigt, fordi vi har jo stået sammen, må man jo sige, i tygt og i tyndt,"
31000,36000," i en tid, der har været både med- og modvind, om man så må sige."
36000,38000," Men hvad er det, vi så helt fra starten?"
38000,44000," Ja, hvad er det, du så, som jeg så og satte mig ind i, og på den måde kunne se, at alt det, der skete, var vanvittigt?"
44000,52000," Præcis, præcis. Jeg vil lige vise her, for jeg ved ikke, om I kan se det derude, men her viser vi positivtalene."
52000,59000," Og der kan du godt se, at den hernede er fuldstændig fredsomlig, og dagens tal er under 1 procent."
59000,66000," Det vil altså sige, at i testet knap 50.000, der er mindre end 1 procent smittet med COVID-19."
66000,69000," Og sådan har det faktisk set ud siden 2. maj."
69000,75000," Det vil sige, at når vi tester, i det her tilfælde nærmest 66 gange flere end f.eks. 24. marts,"
75000,82000," så skal der altså for at kunne sammenligne dagens tal med det tal, som var den 24. marts gange med 66."
82000,89000," Det vil sige, at vi er rigtig, rigtig langt fra, hvor vi var, selv da vi har aldrig været, det skal vi også huske,"
89000,94000," vi har aldrig været i en disaster, en katastrofe i forhold til COVID-19."
94000,97000," Vi har været på et tidspunkt, hvor nogen frygtede, at vi var på vej ind i det. Det var vi ikke."
97000,101000," Og det var det, jeg blandt andet kunne se fra starten, og heldigvis fik ret i."
101000,107000," Men det ændrer ikke ved, at der, hvor vi er nu, med igen corona-frygt, corona-hysteri,"
107000,112000," så er det altså vigtigt at kigge på den her snorlige, rolige linje, vi har hernede,"
112000,116000," hvor den som sagt stadigvæk er, også i dag, under 1 procent."
116000,121000," Altså, at vi tester, at det er under 1 procent, der faktisk er smittet med COVID-19."
121000,124000," Og det er jo så også en af pointerne til, at vi har lavet den her samtalebog."
124000,125000," Præcis."
125000,128000," Det er jo for at fortælle, hvad var det, hvorfor var det, vi råbte op."
128000,131000," Og man kan sige, at mor var det jo netop på grund af sin lægefaglige viden."
131000,134000," Og jeg har jo ikke bare råbt op, fordi mor har råbt op."
134000,136000," Jeg har jo råbt op, fordi jeg har sat mig ind i det."
136000,137000," Præcis."
137000,140000," Og ligesom kunne se, at det, der sker, er så sindssygt."
140000,143000," Og det er ikke andet end politik."
143000,147000," Fordi, som det jo også har vist sig at komme frem, så sundhedsstyrelsen bakkede ikke op"
147000,149000," omkring Mette Frederiksens nedlukning af landet."
149000,150000," Præcis."
150000,154000," Faktisk sendte Søren Brostrøm syv timer inden en mail, hvor han siger,"
154000,157000," jeg anbefaler ikke en nedlukning af landet."
157000,160000," Og at omkostningerne vil være for store for samfundet."
160000,163000," Og det skal jeg helt så sige, at de er blevet massivt for samfundet."
163000,165000," Ja, lad os bare sige det."
165000,170000," Og det er stadigvæk en kæmpe risiko med det, som regeringen stadigvæk er i gang med."
170000,173000," 75.000 operationer, der er blevet aflyst."
173000,174000," Mindst."
174000,175000," Mindst."
175000,176000," Aflyst eller udskudt."
176000,180000," Og det vil sige, at det her har haft så alvorlige konsekvenser for alvorlige syge mennesker,"
180000,183000," for mennesker med smerter, for mennesker, der skulle have genoptræning,"
183000,186000," for dig og mig og mine forældre, for udsatte, for børn."
186000,188000," Det er fuldstændig rappelende."
188000,192000," Sat i forhold til, hvor fredelige tallene er og har været."
192000,194000," Ja, lige nu ser det ud til, at der er en lille stigning."
194000,196000," Ser ud til, at der er flere, der bliver indlagt."
196000,200000," Vi er også på vej ind i en tid, hvor en del af dem, som i forvejen er syge,"
200000,204000," i forvejen er svækket med, hvad hedder det for eksempel, rygerlunger."
204000,206000," Jamen, der skal der jo ikke mange hums til."
206000,209000," For eksempel covid-19, men det kunne også være forkølelse,"
209000,211000," der gør, at man får værtrækningsbesvær."
211000,213000," Og lad os lige holde fast i den med døden."
213000,218000," Fordi jeg kan se fra de sidste døgn, at der er en død, der er død mere med covid-19."
218000,223000," Nu ved vi jo, at rigtig mange klarer sig i respirator og overlever."
223000,225000," Men vi ved også, at der er nogen, der dør."
225000,228000," Og det er typisk nogen, der i forvejen er alvorlig syge,"
228000,231000," i forvejen har kronisk syge og også har en vis alder."
231000,234000," Og ældre. Jeg tror, at gennemsnitsalderen ligger over 82."
234000,237000," Men det, som også er interessant, og det er min påstand,"
237000,240000," og jeg prøver at få tallene frem, det er, at det ser ud til,"
240000,243000," at covid-19 faktisk er blevet mindre dødelig."
243000,247000," Fordi takket med, at de absolute talle er blevet flere,"
247000,251000," så er tallet, altså med antal døde, fuldstændig snorligt,"
251000,252000," og måske endda faldende."
252000,254000," Det er en påstand, jeg er ved at få lavet nogle tal,"
254000,256000," så vi kan se, hvordan det ser ud."
256000,261000," Men én er sikker, at covid-19 i hvert fald ikke er blevet mere dødelig."
261000,263000," Og det er jo noget, vi skal glæde os over."
263000,266000," Plus, at vi ved endnu mere end i foråret, hvordan det skal behandles."
266000,271000," Så jeg er meget uforstående over for den her nedlukning, vi står over for."
271000,274000," Plus, at det er som om, at alle andre sygdomme, de er fuldstændig glemte."
274000,275000," Fuldstændig."
275000,279000," Altså fuldstændig, og kraft og hjerte-kar-sygdomme og alt andet."
279000,283000," Det er ligesom om, at det lige meget, det eksisterer ikke længere."
283000,286000," Og det er jo sindssygt, og det er jo det, folk dør af lige nu."
286000,289000," Det er kraft, hjerte-kar-sygdomme, dem, der ikke kommer i behandling,"
289000,291000," kommer for sent i behandling."
291000,292000," Og i det hele taget."
292000,294000," Det er sindssygt, og det skal stoppes."
294000,297000," Og det er kun, og det er ved, at vi netop laver den her bog."
297000,300000," Og det er ved, at vi råber op og tager nogle tæsk på den konto."
300000,301000," Fordi det her skal stoppes."
301000,302000," Og vi får også meget medvind."
302000,304000," Vi får rigtig, rigtig, og tak for det."
304000,308000," Rigtig, rigtig, og specielt kan man jo også se inden for de sidste par måneder,"
308000,312000," at der er virkelig indgået en holdning ude i samfundet."
312000,314000," Der er rigtig mange, der heldigvis vågner op."
314000,316000," Og det er jo det, der skal til."
316000,320000," For det er kun ved, at vi vågner op, at der bliver sat en stopper for det her vanvid."
320000,321000," Og så mundbind."
321000,323000," Og så er vi jo så lidt med mundbind."
323000,326000," Der er det jo lidt interessant med, at vi venter på det her studie fra Rigshospitalet,"
326000,329000," hvor det ser ud til, sådan kan man i hvert fald få indtryk,"
329000,331000," at der er gået lidt international politik i det."
331000,332000," Men det må vi se, hvad det viser."
332000,336000," Mit gæt er, at det viser, at der ikke er nogen effekt i forhold til,"
336000,339000," at det beskytter mod covid-19, at vi bruger masker i det offentlige rum."
339000,340000," Det er mit gæt."
340000,341000," Det forbliver et gæt."
341000,344000," Men hvor med alting er, der er jo nogen af jer og os,"
344000,347000," der ikke kan tåle at bruge masker eller mundbind."
347000,351000," Og til jer har vi jo så lavet, og en del af jer har allerede bestilt en,"
351000,355000," ja nu kommer den jo så til at være på hovedet, havde jeg nær sagt,"
355000,357000," med det her badge, som du kan komme på."
357000,360000," Fordi det er jo sådan, at efterretningslinjerne er i så fald,"
360000,362000," at man ikke kan tåle at bruge masker."
362000,363000," Så er man faktisk undtaget."
363000,364000," Både fysisk og psykisk."
364000,365000," Også psykisk."
365000,367000," Også ved angst, karstofobi osv."
367000,370000," Det kan selvfølgelig også være forskellige luftvejsproblemer."
370000,373000," Så er man faktisk efter reglerne fra Sundhedsstyrelsen undtaget."
373000,377000," Og der synes jeg det er vigtigt, at dem af jer derude, der bliver kanøflet,"
377000,381000," der bliver trynet, der bliver mobbet, fordi I ikke kan tåle masken,"
381000,385000," der håber jeg, at det her badge, og vi lægger lige et lille link hernede,"
385000,388000," hvor I kan bestille den, at det vil gøre livet lidt lettere for jer,"
388000,394000," så ikke I møder coronapolitiet derude, men møder den forstand og godhed,"
394000,396000," som I selvfølgelig også har krav på."
396000,397000," Og jeg går med det."
397000,398000," Du går med det."
398000,399000," Jeg går med det."
399000,400000," Du kan så heller ikke tåle det."
400000,401000," Nej."
401000,403000," Det er jo også ulækkert med de mundmasker der."
403000,406000," Prøv lige at tænke over alle dem her, der bruger netop indgangsmaskerne,"
406000,408000," så tager de dem af og på og snøfter i dem."
408000,409000," Det er jo ikke meningen, at man..."
409000,413000," Snøfter, snasker og koger dem på fingrene, det er ulækkert."
413000,414000," Det er sådan noget andet."
414000,415000," Lykket mere."
415000,416000," Det er ulækkert."
416000,417000," Men lad det nu være."
417000,422000," Det her er stadigvæk, hvis ikke du kan tåle, så har du lov til at lade være med at bruge en maske."
422000,426000," Og derfor vil jeg foreslå den, eller du kan lave din egen for den tages skyld."
426000,429000," Men et eller andet, der signalerer til omgivelserne, hey den er god nok,"
429000,431000," jeg er nemt taget for at bruge den."
431000,434000," Jeg vil lige dvæle et sidste kort øjeblik ved det med dødsfald."
434000,438000," Vi skal altså huske, at hver eneste dag er der 150 mennesker, der dør."
438000,442000," De får ikke en forsøg på BT eller Ekstra Bladet eller andre steder."
442000,445000," De dør, og en del af dem, meget alene."
445000,447000," Og som det ser ud, nu går vi ind i en tid igen,"
447000,451000," hvor rigtig mange kommer til ikke at få deres pårørende."
451000,454000," Fordi igen, regeringen går fuldstændig overgevendt."
454000,457000," Og det har meget store menneskelige omkostninger,"
457000,460000," men også ekonomiske omkostninger og sociale omkostninger."
460000,465000," Så jeg håber, at I vil købe eller låne den."
465000,468000," Den kan også lånes på bibliotek, eller låne den ud til hinanden."
468000,471000," At I vil læse den her bog, fordi jeg synes, det giver,"
471000,474000," i al beskedenhed, et meget godt flow."
474000,477000," Hvad var det, vi og jer så i særdeles tid?"
477000,479000," Hvad er det, vi fik ret i?"
479000,483000," Og egentlig også, skal vi sige, de overgreb, som vi jo mener det er,"
483000,485000," regeringen har udsat os for,"
485000,488000," den måde, de har indskrænket grundloven og vores rettigheder."
488000,489000," Jeg synes, det er uhyggeligt."
489000,492000," Og det får du forhåbentlig indblik i ved at læse bogen."
492000,495000," Og den vil ruste dig til, når du sidder i en diskussion derude,"
495000,497000," fordi der er jo selvfølgelig mange, der synes, det er helt forkert"
497000,499000," at være imod det, regeringen siger."
499000,501000," Men der vil den her bog være med til at ruste dig til at sige,"
501000,504000," nej, på grund af det og det og det."
504000,505000," Og det er jo så også det, vi skal huske,"
505000,507000," at vi lever i et demokrati."
507000,510000," Så det er helt okay at være uenige."
510000,512000," Det handler bare om, at vi har nogle argumenter"
512000,513000," for det ene og det andet."
513000,517000," Og det kan jo også være, at vi bliver klogere på at lytte til hinanden."
517000,519000," Lige præcis. Og det er jo det, demokratiet handler om."
519000,522000," Vi må gerne være uenige, og vi må også godt påpege nogle ting,"
522000,525000," som er fuldstændig ude af proportioner."
525000,528000," Det er det, vi har gjort og har forsøgt at gøre i hele det her forløb."
528000,531000," Det er det, vi har gjort i bogen og forsøgt at skabe en linje i bogen,"
531000,534000," så du forhåbentlig, når du læser den, kan se den linje."
534000,539000," Og så vil jeg gerne på den personlige note her til alt og sidst sige,"
539000,544000," at jeg har lavet en rigtig fin kæde til mig,"
544000,547000," som skal mindes om den her tid."
547000,548000," Ej, mor."
548000,550000," Ja, ja. Det vidste du ikke."
550000,552000," Det var altså ikke det eneste, det her."
552000,553000," Det var ikke det eneste."
553000,556000," Det er faktisk en kæde, som passer til farverne."
556000,558000," Men så har den den lille note."
558000,561000," Altså, jeg har det ikke forfremmet, at jeg elsker at designe smykker."
561000,565000," Men så har den lille note, at vores mormor jo ikke er hos os mere."
565000,570000," Men mormor har været med os i hele forløbet og sendt os rigtig meget kærlighed."
570000,574000," Og det har jeg lagt ind i den kæde, for der er nogle af mormors perler med."
574000,577000," Så den her kæde skal minde os, og ikke mindst mig,"
577000,580000," om det, vi har været igennem, om det, vi har kæmpet sammen."
580000,584000," Og at vi havde mormor med os, også selvom hun ikke er hos os mere,"
584000,586000," men med os i hjertet."
586000,588000," Og det synes jeg, at du også skal huske,"
588000,591000," at det, som det her handler om i bund og grund, det er kærlighed."
591000,592000," Kærlighed til hinanden."
592000,593000," Præcis. Det er dem, vi elsker."
593000,597000," Og det var heller ikke forudbestilt, eller hvad man skal sige."
597000,601000," Jeg var heller ikke forudbestilt."
601000,608000," Så med det, synes jeg, vi skal sige, kan I have det godt derude."
608000,611000," Og så tror jeg også, at vi skal sige det som den sidste prængådde."
611000,612000," Lev livet."
612000,615000," Og kærlighed overvinder alt."
615000,617000," Kan I have det godt. Hej hej."
617000,619000," Hej hej!"
